item_id,review_text,discussed_clarity,polarity_clarity,discussed_lecturer_quality,polarity_lecturer_quality,discussed_materials,polarity_materials,discussed_feedback_quality,polarity_feedback_quality,discussed_exam_fairness,polarity_exam_fairness,discussed_assessment_design,polarity_assessment_design,discussed_grading_transparency,polarity_grading_transparency,discussed_organization,polarity_organization,discussed_tooling_usability,polarity_tooling_usability,discussed_difficulty,polarity_difficulty,discussed_workload,polarity_workload,discussed_pacing,polarity_pacing,discussed_prerequisite_fit,polarity_prerequisite_fit,discussed_support,polarity_support,discussed_accessibility,polarity_accessibility,discussed_peer_interaction,polarity_peer_interaction,discussed_relevance,polarity_relevance,discussed_interest,polarity_interest,discussed_practical_application,polarity_practical_application,discussed_overall_experience,polarity_overall_experience,notes
H042,"r, you have a very good teaching skill. Thank you!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H046,"From every week lab exercise ,could get better understanding in that corse Home work exercises are given, from this also we could get better understanding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H033,"At beginning I did not know anything about Java. So the first few lectures was hard for me. But your explanations on OOP were very clear and simple. Therefore after few practicals it was normal. Then I was not able to attend some lectures and now I have some problems. Otherwise your teaching methods and in class activities was so efficient and helped so much. thank you madam,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H015,"Tests are almost impossible, her grading is extreme, and so hard to understand. Avoid at all costs!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H044,An easy teacher a few homeworks but no test. You will leave this class actually learning something.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H011,"No extra credits, no extra assignments. 1 test and 1 final. Tests are hard but based on the book. So if you read you should do fine.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H001,is better if the electrical engineering students have a common room as it is really hard to do work together in the library due to too many students working there,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H023,"you are a full time student, good luck because this prof gives a ton of work as if this is the only class we are taking, asks for too much detail, and VERY picky with assignments and writing. if you can, save yourself and avoid it! also many students complained about this prof outside this website so, that should def be a sign!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H010,"Work load is high,if she can focus on middle level students rather than top level lots of students that would be good teaching.For some examples, code was shown in class but it hasn't been uploaded to moodle. As a middle layer student in some days lecture was too speed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H048,The lessons are really hard to comprehend The recent handouts had the codes written in really small letters. It was a bit difficult to read them Sometimes it feels like the people who are already well acquainted with OOP go on with the lecturer while the others are left behind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H014,Unfair; picks his favs; a right answer is the one which he agrees with; free thought is not allowed; not a very fair marker. AVOID HIM!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H022,"ful instructor. Intensely focused on theory and over-complicating subject matter to feed his own ego. Zero interest in students, arrogant, and more interested in failing students. Class average for midterms was below 70%, showing he can\'t teach the material he expects students to know. Avoid at all costs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H002,It is easy to study as seniors are helping us in practicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H026,Lectures were good enough to understand explanations were good. Examples were adequate but there might be some more excersises too,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H027,"Not bad, even though I did not like the course material.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H025,"about the group project, it is better to give a specific role which is equal weight for each student.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H029,"very good teacher. However her choice in course materials is severely lacking. She\'s sweet and understanding. She moves the class quickly, which can be overwhelming at times. Fortunately the other two teachers move at a slower pace, so it all balances out. A good advisor too, if you\'re looking for one.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H050,"Every lecture was very useful. in-class exercises was really helpful. If the discussion is done for every in class exercise or if the answers are uploaded to the moodle, it will be more helpful. If possible please conduct tutorials.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H034,Difficulty in finding correlation between the lectures and the lab sessions. Difficulty in identifying the requirement of the lab sessions and what task we need to do in the labs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H006,"Course was great. Work load is acceptable. Continuos assesment tested my abilities well. I got Madam Marcia for my mid evaluation. Although I got low marks, it helped me to improve my ability, understanding my mistakes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H036,Overall lectures were good. But it would have been better if Design Patterns were taught as in the middle of the lecture series. Last three weeks wouldn't give us enough time to get our hands on design patterns.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H004,Good. But can't see what u are writing in the whiteboard if we are at the back.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H032,delivering answers for the lab session after lab.because we can check whether our idea is correct or wrong. I feel first 4 lectures were ok then i feel little speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
