approach,aspect,polarity,gold,detected,missed,recall,miss_rate,sentiment_match_rate_given_detected,sentiment_mismatch_rate_given_detected
albert-base-v2,accessibility,negative,25,25,0,1.0,0.0,0.0,1.0
albert-base-v2,accessibility,neutral,27,27,0,1.0,0.0,1.0,0.0
albert-base-v2,accessibility,positive,40,40,0,1.0,0.0,0.0,1.0
albert-base-v2,assessment_design,negative,40,40,0,1.0,0.0,0.0,1.0
albert-base-v2,assessment_design,neutral,33,33,0,1.0,0.0,1.0,0.0
albert-base-v2,assessment_design,positive,36,36,0,1.0,0.0,0.0,1.0
albert-base-v2,clarity,negative,32,32,0,1.0,0.0,0.0,1.0
albert-base-v2,clarity,neutral,29,29,0,1.0,0.0,1.0,0.0
albert-base-v2,clarity,positive,38,38,0,1.0,0.0,0.0,1.0
albert-base-v2,difficulty,negative,26,26,0,1.0,0.0,0.0,1.0
albert-base-v2,difficulty,neutral,34,34,0,1.0,0.0,1.0,0.0
albert-base-v2,difficulty,positive,35,35,0,1.0,0.0,0.0,1.0
albert-base-v2,exam_fairness,negative,32,32,0,1.0,0.0,0.0,1.0
albert-base-v2,exam_fairness,neutral,34,34,0,1.0,0.0,1.0,0.0
albert-base-v2,exam_fairness,positive,36,36,0,1.0,0.0,0.0,1.0
albert-base-v2,feedback_quality,negative,26,26,0,1.0,0.0,0.0,1.0
albert-base-v2,feedback_quality,neutral,30,30,0,1.0,0.0,1.0,0.0
albert-base-v2,feedback_quality,positive,26,26,0,1.0,0.0,0.0,1.0
albert-base-v2,grading_transparency,negative,33,33,0,1.0,0.0,0.0,1.0
albert-base-v2,grading_transparency,neutral,35,35,0,1.0,0.0,1.0,0.0
albert-base-v2,grading_transparency,positive,40,40,0,1.0,0.0,0.0,1.0
albert-base-v2,interest,negative,29,29,0,1.0,0.0,0.0,1.0
albert-base-v2,interest,neutral,32,32,0,1.0,0.0,1.0,0.0
albert-base-v2,interest,positive,29,29,0,1.0,0.0,0.0,1.0
albert-base-v2,lecturer_quality,negative,35,35,0,1.0,0.0,0.0,1.0
albert-base-v2,lecturer_quality,neutral,27,27,0,1.0,0.0,1.0,0.0
albert-base-v2,lecturer_quality,positive,39,39,0,1.0,0.0,0.0,1.0
albert-base-v2,materials,negative,33,33,0,1.0,0.0,0.0,1.0
albert-base-v2,materials,neutral,28,28,0,1.0,0.0,1.0,0.0
albert-base-v2,materials,positive,33,33,0,1.0,0.0,0.0,1.0
albert-base-v2,organization,negative,39,39,0,1.0,0.0,0.0,1.0
albert-base-v2,organization,neutral,32,32,0,1.0,0.0,1.0,0.0
albert-base-v2,organization,positive,35,35,0,1.0,0.0,0.0,1.0
albert-base-v2,overall_experience,negative,43,43,0,1.0,0.0,0.0,1.0
albert-base-v2,overall_experience,neutral,38,38,0,1.0,0.0,1.0,0.0
albert-base-v2,overall_experience,positive,36,36,0,1.0,0.0,0.0,1.0
albert-base-v2,pacing,negative,29,29,0,1.0,0.0,0.0,1.0
albert-base-v2,pacing,neutral,35,35,0,1.0,0.0,1.0,0.0
albert-base-v2,pacing,positive,42,42,0,1.0,0.0,0.0,1.0
albert-base-v2,peer_interaction,negative,31,31,0,1.0,0.0,0.0,1.0
albert-base-v2,peer_interaction,neutral,36,36,0,1.0,0.0,1.0,0.0
albert-base-v2,peer_interaction,positive,40,40,0,1.0,0.0,0.0,1.0
albert-base-v2,practical_application,negative,28,28,0,1.0,0.0,0.0,1.0
albert-base-v2,practical_application,neutral,34,34,0,1.0,0.0,1.0,0.0
albert-base-v2,practical_application,positive,34,34,0,1.0,0.0,0.0,1.0
albert-base-v2,prerequisite_fit,negative,32,32,0,1.0,0.0,0.0,1.0
albert-base-v2,prerequisite_fit,neutral,31,31,0,1.0,0.0,1.0,0.0
albert-base-v2,prerequisite_fit,positive,34,34,0,1.0,0.0,0.0,1.0
albert-base-v2,relevance,negative,30,30,0,1.0,0.0,0.0,1.0
albert-base-v2,relevance,neutral,41,41,0,1.0,0.0,1.0,0.0
albert-base-v2,relevance,positive,34,34,0,1.0,0.0,0.0,1.0
albert-base-v2,support,negative,41,41,0,1.0,0.0,0.0,1.0
albert-base-v2,support,neutral,26,26,0,1.0,0.0,1.0,0.0
albert-base-v2,support,positive,29,29,0,1.0,0.0,0.0,1.0
albert-base-v2,tooling_usability,negative,40,40,0,1.0,0.0,0.0,1.0
albert-base-v2,tooling_usability,neutral,33,33,0,1.0,0.0,1.0,0.0
albert-base-v2,tooling_usability,positive,34,34,0,1.0,0.0,0.0,1.0
albert-base-v2,workload,negative,28,28,0,1.0,0.0,0.0,1.0
albert-base-v2,workload,neutral,36,36,0,1.0,0.0,1.0,0.0
albert-base-v2,workload,positive,40,40,0,1.0,0.0,0.0,1.0
bert-base-uncased,accessibility,negative,44,24,20,0.5454545454545454,0.45454545454545453,0.0,1.0
bert-base-uncased,accessibility,neutral,38,18,20,0.47368421052631576,0.5263157894736842,1.0,0.0
bert-base-uncased,accessibility,positive,35,20,15,0.5714285714285714,0.42857142857142855,0.0,1.0
bert-base-uncased,assessment_design,negative,28,14,14,0.5,0.5,0.0,1.0
bert-base-uncased,assessment_design,neutral,32,4,28,0.125,0.875,1.0,0.0
bert-base-uncased,assessment_design,positive,25,10,15,0.4,0.6,0.0,1.0
bert-base-uncased,clarity,negative,36,7,29,0.19444444444444445,0.8055555555555556,0.0,1.0
bert-base-uncased,clarity,neutral,26,3,23,0.11538461538461539,0.8846153846153846,1.0,0.0
bert-base-uncased,clarity,positive,31,9,22,0.2903225806451613,0.7096774193548387,0.0,1.0
bert-base-uncased,difficulty,negative,32,12,20,0.375,0.625,0.0,1.0
bert-base-uncased,difficulty,neutral,41,6,35,0.14634146341463414,0.8536585365853658,1.0,0.0
bert-base-uncased,difficulty,positive,31,15,16,0.4838709677419355,0.5161290322580645,0.0,1.0
bert-base-uncased,exam_fairness,negative,35,15,20,0.42857142857142855,0.5714285714285714,0.0,1.0
bert-base-uncased,exam_fairness,neutral,38,8,30,0.21052631578947367,0.7894736842105263,1.0,0.0
bert-base-uncased,exam_fairness,positive,42,22,20,0.5238095238095238,0.47619047619047616,0.0,1.0
bert-base-uncased,feedback_quality,negative,28,12,16,0.42857142857142855,0.5714285714285714,0.0,1.0
bert-base-uncased,feedback_quality,neutral,28,6,22,0.21428571428571427,0.7857142857142857,1.0,0.0
bert-base-uncased,feedback_quality,positive,34,14,20,0.4117647058823529,0.5882352941176471,0.0,1.0
bert-base-uncased,grading_transparency,negative,35,12,23,0.34285714285714286,0.6571428571428571,0.0,1.0
bert-base-uncased,grading_transparency,neutral,31,3,28,0.0967741935483871,0.9032258064516129,1.0,0.0
bert-base-uncased,grading_transparency,positive,39,15,24,0.38461538461538464,0.6153846153846154,0.0,1.0
bert-base-uncased,interest,negative,28,23,5,0.8214285714285714,0.17857142857142858,0.0,1.0
bert-base-uncased,interest,neutral,33,24,9,0.7272727272727273,0.2727272727272727,1.0,0.0
bert-base-uncased,interest,positive,40,33,7,0.825,0.175,0.0,1.0
bert-base-uncased,lecturer_quality,negative,37,15,22,0.40540540540540543,0.5945945945945946,0.0,1.0
bert-base-uncased,lecturer_quality,neutral,36,9,27,0.25,0.75,1.0,0.0
bert-base-uncased,lecturer_quality,positive,28,13,15,0.4642857142857143,0.5357142857142857,0.0,1.0
bert-base-uncased,materials,negative,36,12,24,0.3333333333333333,0.6666666666666666,0.0,1.0
bert-base-uncased,materials,neutral,33,6,27,0.18181818181818182,0.8181818181818182,1.0,0.0
bert-base-uncased,materials,positive,41,24,17,0.5853658536585366,0.4146341463414634,0.0,1.0
bert-base-uncased,organization,negative,37,14,23,0.3783783783783784,0.6216216216216216,0.0,1.0
bert-base-uncased,organization,neutral,29,1,28,0.034482758620689655,0.9655172413793104,1.0,0.0
bert-base-uncased,organization,positive,27,8,19,0.2962962962962963,0.7037037037037037,0.0,1.0
