approach,aspect,gold_support,pred_support,pred_minus_gold,tp,fp,fn,precision,recall,f1,sentiment_match_rate_given_tp,wrong_sentiment_count_given_tp,correct_sentiment_count_given_tp
openai-gpt-5.2-few-shot,accessibility,92,11,-81,9,2,83,0.8181818181818182,0.09782608695652174,0.17475728155339806,0.8888888888888888,1,8
openai-gpt-5.2-few-shot,assessment_design,109,141,32,39,102,70,0.2765957446808511,0.3577981651376147,0.312,0.7435897435897436,10,29
openai-gpt-5.2-few-shot,clarity,99,196,97,35,161,64,0.17857142857142858,0.35353535353535354,0.23728813559322037,0.6857142857142857,11,24
openai-gpt-5.2-few-shot,difficulty,95,11,-84,8,3,87,0.7272727272727273,0.08421052631578947,0.1509433962264151,1.0,0,8
openai-gpt-5.2-few-shot,exam_fairness,102,52,-50,40,12,62,0.7692307692307693,0.39215686274509803,0.5194805194805195,0.825,7,33
openai-gpt-5.2-few-shot,feedback_quality,82,407,325,38,369,44,0.09336609336609336,0.4634146341463415,0.1554192229038855,0.3684210526315789,24,14
openai-gpt-5.2-few-shot,grading_transparency,108,236,128,55,181,53,0.2330508474576271,0.5092592592592593,0.3197674418604651,0.6,22,33
openai-gpt-5.2-few-shot,interest,90,8,-82,2,6,88,0.25,0.022222222222222223,0.04081632653061225,1.0,0,2
openai-gpt-5.2-few-shot,lecturer_quality,101,88,-13,25,63,76,0.2840909090909091,0.24752475247524752,0.26455026455026454,0.8,5,20
openai-gpt-5.2-few-shot,materials,94,131,37,30,101,64,0.22900763358778625,0.3191489361702128,0.26666666666666666,0.8333333333333334,5,25
openai-gpt-5.2-few-shot,organization,106,55,-51,32,23,74,0.5818181818181818,0.3018867924528302,0.3975155279503106,0.84375,5,27
openai-gpt-5.2-few-shot,overall_experience,117,12,-105,1,11,116,0.08333333333333333,0.008547008547008548,0.01550387596899225,0.0,1,0
openai-gpt-5.2-few-shot,pacing,106,341,235,75,266,31,0.21994134897360704,0.7075471698113207,0.3355704697986577,0.64,27,48
openai-gpt-5.2-few-shot,peer_interaction,107,179,72,34,145,73,0.18994413407821228,0.3177570093457944,0.23776223776223776,0.5,17,17
openai-gpt-5.2-few-shot,practical_application,96,37,-59,16,21,80,0.43243243243243246,0.16666666666666666,0.2406015037593985,0.6875,5,11
openai-gpt-5.2-few-shot,prerequisite_fit,97,103,6,19,84,78,0.18446601941747573,0.1958762886597938,0.19000000000000003,0.631578947368421,7,12
openai-gpt-5.2-few-shot,relevance,105,19,-86,8,11,97,0.42105263157894735,0.0761904761904762,0.12903225806451613,1.0,0,8
openai-gpt-5.2-few-shot,support,96,252,156,24,228,72,0.09523809523809523,0.25,0.13793103448275862,0.4583333333333333,13,11
openai-gpt-5.2-few-shot,tooling_usability,107,466,359,68,398,39,0.1459227467811159,0.6355140186915887,0.237347294938918,0.6029411764705882,27,41
openai-gpt-5.2-few-shot,workload,104,246,142,55,191,49,0.22357723577235772,0.5288461538461539,0.3142857142857143,0.6545454545454545,19,36
openai-gpt-5.2-few-shot-diverse,accessibility,92,12,-80,9,3,83,0.75,0.09782608695652174,0.1730769230769231,1.0,0,9
openai-gpt-5.2-few-shot-diverse,assessment_design,109,113,4,36,77,73,0.3185840707964602,0.3302752293577982,0.32432432432432434,0.75,9,27
openai-gpt-5.2-few-shot-diverse,clarity,99,213,114,37,176,62,0.17370892018779344,0.37373737373737376,0.2371794871794872,0.6216216216216216,14,23
openai-gpt-5.2-few-shot-diverse,difficulty,95,17,-78,8,9,87,0.47058823529411764,0.08421052631578947,0.14285714285714282,0.75,2,6
openai-gpt-5.2-few-shot-diverse,exam_fairness,102,61,-41,39,22,63,0.639344262295082,0.38235294117647056,0.47852760736196315,0.8461538461538461,6,33
openai-gpt-5.2-few-shot-diverse,feedback_quality,82,423,341,39,384,43,0.09219858156028368,0.47560975609756095,0.15445544554455443,0.41025641025641024,23,16
openai-gpt-5.2-few-shot-diverse,grading_transparency,108,239,131,58,181,50,0.24267782426778242,0.5370370370370371,0.3342939481268012,0.5862068965517241,24,34
openai-gpt-5.2-few-shot-diverse,interest,90,17,-73,3,14,87,0.17647058823529413,0.03333333333333333,0.056074766355140186,0.6666666666666666,1,2
openai-gpt-5.2-few-shot-diverse,lecturer_quality,101,78,-23,17,61,84,0.21794871794871795,0.16831683168316833,0.1899441340782123,0.7058823529411765,5,12
openai-gpt-5.2-few-shot-diverse,materials,94,88,-6,25,63,69,0.2840909090909091,0.26595744680851063,0.2747252747252747,0.92,2,23
openai-gpt-5.2-few-shot-diverse,organization,106,56,-50,27,29,79,0.48214285714285715,0.25471698113207547,0.3333333333333333,0.9259259259259259,2,25
openai-gpt-5.2-few-shot-diverse,overall_experience,117,17,-100,2,15,115,0.11764705882352941,0.017094017094017096,0.029850746268656723,0.5,1,1
openai-gpt-5.2-few-shot-diverse,pacing,106,264,158,63,201,43,0.23863636363636365,0.5943396226415094,0.34054054054054056,0.6349206349206349,23,40
openai-gpt-5.2-few-shot-diverse,peer_interaction,107,142,35,29,113,78,0.20422535211267606,0.27102803738317754,0.2329317269076305,0.5517241379310345,13,16
openai-gpt-5.2-few-shot-diverse,practical_application,96,61,-35,21,40,75,0.3442622950819672,0.21875,0.267515923566879,0.7619047619047619,5,16
openai-gpt-5.2-few-shot-diverse,prerequisite_fit,97,118,21,18,100,79,0.15254237288135594,0.18556701030927836,0.16744186046511628,0.8333333333333334,3,15
openai-gpt-5.2-few-shot-diverse,relevance,105,11,-94,5,6,100,0.45454545454545453,0.047619047619047616,0.08620689655172414,1.0,0,5
openai-gpt-5.2-few-shot-diverse,support,96,324,228,34,290,62,0.10493827160493827,0.3541666666666667,0.1619047619047619,0.47058823529411764,18,16
openai-gpt-5.2-few-shot-diverse,tooling_usability,107,483,376,72,411,35,0.14906832298136646,0.6728971962616822,0.2440677966101695,0.5972222222222222,29,43
openai-gpt-5.2-few-shot-diverse,workload,104,245,141,51,194,53,0.20816326530612245,0.49038461538461536,0.2922636103151862,0.6470588235294118,18,33
openai-gpt-5.2-retrieval-few-shot,accessibility,92,12,-80,6,6,86,0.5,0.06521739130434782,0.11538461538461539,1.0,0,6
openai-gpt-5.2-retrieval-few-shot,assessment_design,109,123,14,36,87,73,0.2926829268292683,0.3302752293577982,0.31034482758620685,0.75,9,27
openai-gpt-5.2-retrieval-few-shot,clarity,99,163,64,31,132,68,0.1901840490797546,0.31313131313131315,0.2366412213740458,0.7096774193548387,9,22
openai-gpt-5.2-retrieval-few-shot,difficulty,95,16,-79,9,7,86,0.5625,0.09473684210526316,0.16216216216216217,0.8888888888888888,1,8
openai-gpt-5.2-retrieval-few-shot,exam_fairness,102,67,-35,44,23,58,0.6567164179104478,0.43137254901960786,0.5207100591715977,0.75,11,33
openai-gpt-5.2-retrieval-few-shot,feedback_quality,82,428,346,40,388,42,0.09345794392523364,0.4878048780487805,0.1568627450980392,0.375,25,15
openai-gpt-5.2-retrieval-few-shot,grading_transparency,108,230,122,55,175,53,0.2391304347826087,0.5092592592592593,0.3254437869822486,0.6,22,33
openai-gpt-5.2-retrieval-few-shot,interest,90,10,-80,3,7,87,0.3,0.03333333333333333,0.060000000000000005,1.0,0,3
openai-gpt-5.2-retrieval-few-shot,lecturer_quality,101,98,-3,25,73,76,0.25510204081632654,0.24752475247524752,0.2512562814070352,0.72,7,18
openai-gpt-5.2-retrieval-few-shot,materials,94,90,-4,27,63,67,0.3,0.2872340425531915,0.29347826086956524,0.8518518518518519,4,23
openai-gpt-5.2-retrieval-few-shot,organization,106,60,-46,30,30,76,0.5,0.2830188679245283,0.3614457831325301,0.8333333333333334,5,25
openai-gpt-5.2-retrieval-few-shot,overall_experience,117,16,-101,2,14,115,0.125,0.017094017094017096,0.030075187969924817,1.0,0,2
openai-gpt-5.2-retrieval-few-shot,pacing,106,259,153,68,191,38,0.2625482625482625,0.6415094339622641,0.37260273972602737,0.6470588235294118,24,44
openai-gpt-5.2-retrieval-few-shot,peer_interaction,107,196,89,39,157,68,0.1989795918367347,0.3644859813084112,0.25742574257425743,0.48717948717948717,20,19
openai-gpt-5.2-retrieval-few-shot,practical_application,96,34,-62,16,18,80,0.47058823529411764,0.16666666666666666,0.24615384615384617,0.8125,3,13
openai-gpt-5.2-retrieval-few-shot,prerequisite_fit,97,136,39,23,113,74,0.16911764705882354,0.23711340206185566,0.19742489270386268,0.6956521739130435,7,16
openai-gpt-5.2-retrieval-few-shot,relevance,105,17,-88,10,7,95,0.5882352941176471,0.09523809523809523,0.1639344262295082,0.9,1,9
openai-gpt-5.2-retrieval-few-shot,support,96,292,196,30,262,66,0.10273972602739725,0.3125,0.15463917525773196,0.4666666666666667,16,14
openai-gpt-5.2-retrieval-few-shot,tooling_usability,107,486,379,73,413,34,0.15020576131687244,0.6822429906542056,0.24620573355817874,0.6027397260273972,29,44
openai-gpt-5.2-retrieval-few-shot,workload,104,244,140,57,187,47,0.2336065573770492,0.5480769230769231,0.3275862068965517,0.6140350877192983,22,35
openai-gpt-5.2-zero-shot,accessibility,92,22,-70,10,12,82,0.45454545454545453,0.10869565217391304,0.1754385964912281,0.8,2,8
openai-gpt-5.2-zero-shot,assessment_design,109,108,-1,36,72,73,0.3333333333333333,0.3302752293577982,0.33179723502304154,0.8055555555555556,7,29
openai-gpt-5.2-zero-shot,clarity,99,221,122,41,180,58,0.18552036199095023,0.41414141414141414,0.25625,0.5853658536585366,17,24
openai-gpt-5.2-zero-shot,difficulty,95,24,-71,13,11,82,0.5416666666666666,0.1368421052631579,0.2184873949579832,0.9230769230769231,1,12
openai-gpt-5.2-zero-shot,exam_fairness,102,56,-46,40,16,62,0.7142857142857143,0.39215686274509803,0.5063291139240506,0.85,6,34
openai-gpt-5.2-zero-shot,feedback_quality,82,394,312,39,355,43,0.09898477157360407,0.47560975609756095,0.1638655462184874,0.358974358974359,25,14
openai-gpt-5.2-zero-shot,grading_transparency,108,234,126,55,179,53,0.23504273504273504,0.5092592592592593,0.3216374269005848,0.6,22,33
openai-gpt-5.2-zero-shot,interest,90,13,-77,2,11,88,0.15384615384615385,0.022222222222222223,0.03883495145631068,1.0,0,2
openai-gpt-5.2-zero-shot,lecturer_quality,101,84,-17,24,60,77,0.2857142857142857,0.2376237623762376,0.2594594594594595,0.7916666666666666,5,19
openai-gpt-5.2-zero-shot,materials,94,103,9,30,73,64,0.2912621359223301,0.3191489361702128,0.3045685279187817,0.9,3,27
openai-gpt-5.2-zero-shot,organization,106,78,-28,35,43,71,0.44871794871794873,0.330188679245283,0.3804347826086956,0.8,7,28
openai-gpt-5.2-zero-shot,overall_experience,117,14,-103,2,12,115,0.14285714285714285,0.017094017094017096,0.03053435114503817,0.0,2,0
openai-gpt-5.2-zero-shot,pacing,106,299,193,68,231,38,0.22742474916387959,0.6415094339622641,0.3358024691358024,0.6764705882352942,22,46
openai-gpt-5.2-zero-shot,peer_interaction,107,139,32,35,104,72,0.2517985611510791,0.32710280373831774,0.2845528455284553,0.4,21,14
openai-gpt-5.2-zero-shot,practical_application,96,44,-52,19,25,77,0.4318181818181818,0.19791666666666666,0.2714285714285714,0.8421052631578947,3,16
openai-gpt-5.2-zero-shot,prerequisite_fit,97,102,5,17,85,80,0.16666666666666666,0.17525773195876287,0.1708542713567839,0.7647058823529411,4,13
openai-gpt-5.2-zero-shot,relevance,105,17,-88,6,11,99,0.35294117647058826,0.05714285714285714,0.09836065573770492,1.0,0,6
openai-gpt-5.2-zero-shot,support,96,249,153,28,221,68,0.11244979919678715,0.2916666666666667,0.16231884057971013,0.4642857142857143,15,13
openai-gpt-5.2-zero-shot,tooling_usability,107,457,350,71,386,36,0.15536105032822758,0.6635514018691588,0.2517730496453901,0.6056338028169014,28,43
openai-gpt-5.2-zero-shot,workload,104,338,234,60,278,44,0.17751479289940827,0.5769230769230769,0.27149321266968324,0.6166666666666667,23,37
openai-gpt-5.4-zero-shot,accessibility,92,16,-76,7,9,85,0.4375,0.07608695652173914,0.12962962962962965,1.0,0,7
openai-gpt-5.4-zero-shot,assessment_design,109,129,20,40,89,69,0.31007751937984496,0.3669724770642202,0.33613445378151263,0.775,9,31
openai-gpt-5.4-zero-shot,clarity,99,208,109,35,173,64,0.16826923076923078,0.35353535353535354,0.2280130293159609,0.6285714285714286,13,22
openai-gpt-5.4-zero-shot,difficulty,95,28,-67,10,18,85,0.35714285714285715,0.10526315789473684,0.16260162601626016,0.8,2,8
openai-gpt-5.4-zero-shot,exam_fairness,102,61,-41,36,25,66,0.5901639344262295,0.35294117647058826,0.44171779141104295,0.8333333333333334,6,30
openai-gpt-5.4-zero-shot,feedback_quality,82,369,287,36,333,46,0.0975609756097561,0.43902439024390244,0.15964523281596452,0.3611111111111111,23,13
openai-gpt-5.4-zero-shot,grading_transparency,108,207,99,56,151,52,0.27053140096618356,0.5185185185185185,0.35555555555555557,0.6428571428571429,20,36
openai-gpt-5.4-zero-shot,interest,90,18,-72,4,14,86,0.2222222222222222,0.044444444444444446,0.07407407407407407,0.75,1,3
openai-gpt-5.4-zero-shot,lecturer_quality,101,91,-10,23,68,78,0.25274725274725274,0.22772277227722773,0.23958333333333337,0.782608695652174,5,18
openai-gpt-5.4-zero-shot,materials,94,69,-25,19,50,75,0.2753623188405797,0.20212765957446807,0.2331288343558282,0.9473684210526315,1,18
openai-gpt-5.4-zero-shot,organization,106,65,-41,31,34,75,0.47692307692307695,0.29245283018867924,0.36257309941520466,0.8709677419354839,4,27
openai-gpt-5.4-zero-shot,overall_experience,117,15,-102,1,14,116,0.06666666666666667,0.008547008547008548,0.015151515151515154,0.0,1,0
openai-gpt-5.4-zero-shot,pacing,106,264,158,68,196,38,0.25757575757575757,0.6415094339622641,0.3675675675675676,0.6617647058823529,23,45
openai-gpt-5.4-zero-shot,peer_interaction,107,125,18,24,101,83,0.192,0.22429906542056074,0.20689655172413796,0.5416666666666666,11,13
openai-gpt-5.4-zero-shot,practical_application,96,74,-22,23,51,73,0.3108108108108108,0.23958333333333334,0.27058823529411763,0.7391304347826086,6,17
openai-gpt-5.4-zero-shot,prerequisite_fit,97,165,68,28,137,69,0.1696969696969697,0.28865979381443296,0.2137404580152672,0.7142857142857143,8,20
openai-gpt-5.4-zero-shot,relevance,105,28,-77,15,13,90,0.5357142857142857,0.14285714285714285,0.22556390977443605,0.8666666666666667,2,13
openai-gpt-5.4-zero-shot,support,96,305,209,32,273,64,0.10491803278688525,0.3333333333333333,0.15960099750623444,0.53125,15,17
openai-gpt-5.4-zero-shot,tooling_usability,107,402,295,67,335,40,0.16666666666666666,0.6261682242990654,0.2632612966601179,0.6268656716417911,25,42
openai-gpt-5.4-zero-shot,workload,104,249,145,50,199,54,0.20080321285140562,0.4807692307692308,0.28328611898017,0.62,19,31
openai-gpt-5.4-zero-shot-glossary,accessibility,92,12,-80,7,5,85,0.5833333333333334,0.07608695652173914,0.1346153846153846,1.0,0,7
openai-gpt-5.4-zero-shot-glossary,assessment_design,109,117,8,39,78,70,0.3333333333333333,0.3577981651376147,0.3451327433628319,0.717948717948718,11,28
openai-gpt-5.4-zero-shot-glossary,clarity,99,204,105,37,167,62,0.18137254901960784,0.37373737373737376,0.2442244224422442,0.6486486486486487,13,24
openai-gpt-5.4-zero-shot-glossary,difficulty,95,20,-75,12,8,83,0.6,0.12631578947368421,0.20869565217391306,0.75,3,9
openai-gpt-5.4-zero-shot-glossary,exam_fairness,102,53,-49,37,16,65,0.6981132075471698,0.3627450980392157,0.4774193548387097,0.8918918918918919,4,33
openai-gpt-5.4-zero-shot-glossary,feedback_quality,82,351,269,34,317,48,0.09686609686609686,0.4146341463414634,0.15704387990762123,0.35294117647058826,22,12
openai-gpt-5.4-zero-shot-glossary,grading_transparency,108,191,83,55,136,53,0.2879581151832461,0.5092592592592593,0.3678929765886288,0.6181818181818182,21,34
openai-gpt-5.4-zero-shot-glossary,interest,90,25,-65,6,19,84,0.24,0.06666666666666667,0.10434782608695653,0.6666666666666666,2,4
openai-gpt-5.4-zero-shot-glossary,lecturer_quality,101,52,-49,15,37,86,0.28846153846153844,0.1485148514851485,0.19607843137254902,0.9333333333333333,1,14
openai-gpt-5.4-zero-shot-glossary,materials,94,61,-33,21,40,73,0.3442622950819672,0.22340425531914893,0.27096774193548384,0.9523809523809523,1,20
openai-gpt-5.4-zero-shot-glossary,organization,106,60,-46,33,27,73,0.55,0.3113207547169811,0.39759036144578314,0.7575757575757576,8,25
openai-gpt-5.4-zero-shot-glossary,overall_experience,117,17,-100,1,16,116,0.058823529411764705,0.008547008547008548,0.014925373134328361,1.0,0,1
openai-gpt-5.4-zero-shot-glossary,pacing,106,256,150,67,189,39,0.26171875,0.6320754716981132,0.3701657458563536,0.6716417910447762,22,45
openai-gpt-5.4-zero-shot-glossary,peer_interaction,107,88,-19,18,70,89,0.20454545454545456,0.16822429906542055,0.18461538461538463,0.6666666666666666,6,12
openai-gpt-5.4-zero-shot-glossary,practical_application,96,68,-28,18,50,78,0.2647058823529412,0.1875,0.21951219512195125,0.8333333333333334,3,15
openai-gpt-5.4-zero-shot-glossary,prerequisite_fit,97,163,66,27,136,70,0.1656441717791411,0.27835051546391754,0.20769230769230768,0.7777777777777778,6,21
openai-gpt-5.4-zero-shot-glossary,relevance,105,47,-58,14,33,91,0.2978723404255319,0.13333333333333333,0.18421052631578946,0.7857142857142857,3,11
openai-gpt-5.4-zero-shot-glossary,support,96,306,210,32,274,64,0.10457516339869281,0.3333333333333333,0.15920398009950248,0.46875,17,15
openai-gpt-5.4-zero-shot-glossary,tooling_usability,107,415,308,59,356,48,0.14216867469879518,0.5514018691588785,0.22605363984674332,0.6271186440677966,22,37
openai-gpt-5.4-zero-shot-glossary,workload,104,315,211,55,260,49,0.1746031746031746,0.5288461538461539,0.26252983293556087,0.5818181818181818,23,32
