grouping,approach,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,label_accuracy,subset_accuracy,samples_f1,samples_jaccard,n_groups,n_examples,source_artifact
none_20_aspects,bert-base-uncased,0.2105946507400675,0.40877016129032256,0.2779777206512425,0.41575339384655374,0.40898011807120743,0.34103851885480124,0.78935,0.03,0.3014049506049506,0.21098658008658008,20,1000,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\benchmark_full_20260404T093139Z\artifacts\bert-base-uncased_sample_predictions.jsonl
none_20_aspects,distilbert-base-uncased,0.20302874743326488,0.39868951612903225,0.26904761904761904,0.45917982697815785,0.40230715376613346,0.3357373906258211,0.7851,0.027,0.29601507936507937,0.20571507936507935,20,1000,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\benchmark_full_20260404T082326Z\artifacts\distilbert-base-uncased_sample_predictions.jsonl
none_20_aspects,distilbert_joint,0.1722887196227784,0.4719324391455539,0.252424604756211,0.4011565241450489,0.4788303104432342,0.32483043995977007,0.71865,0.005,0.2668133644133644,0.17327424242424241,20,1000,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\benchmark_full_20260403T175600Z\artifacts\distilbert_joint_sample_predictions.jsonl
none_20_aspects,openai-gpt-5.4-zero-shot,0.20948753462603878,0.3005464480874317,0.2468883901244644,0.2731676595898341,0.29824081515351253,0.23641566551889653,0.81545,0.006,0.2341,0.15898333333333334,20,1000,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T101941Z\artifacts\llm_responses.jsonl
none_20_aspects,bert_joint,0.16076719164197723,0.5121708892200696,0.24471872774744838,0.36563760033927534,0.5205077685066346,0.3207816804820173,0.6818,0.009,0.2651106615606616,0.17081922799422802,20,1000,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\benchmark_full_20260403T174917Z\artifacts\bert_joint_sample_predictions.jsonl
none_20_aspects,tfidf_two_step,0.17611607142857144,0.39768145161290325,0.24412128712871287,0.2740115226978824,0.4004360668657885,0.2796070402407448,0.7557,0.002,0.23722344877344878,0.15242658730158729,20,1000,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\benchmark_full_20260404T074514Z\artifacts\tfidf_two_step_sample_predictions.jsonl
none_20_aspects,albert-base-v2,0.10065,1.0,0.18289192749738792,0.10064999999999999,1.0,0.18279928453502284,0.10065,0.0,0.18054959533220402,0.10065,20,1000,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\benchmark_full_20260403T184123Z\artifacts\albert-base-v2_sample_predictions.jsonl
none_20_aspects,roberta-base,0.10065,1.0,0.18289192749738792,0.10064999999999999,1.0,0.18279928453502284,0.10065,0.0,0.18054959533220402,0.10065,20,1000,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\benchmark_full_20260403T181834Z\artifacts\roberta-base_sample_predictions.jsonl
pedagogical,albert-base-v2,0.3612,1.0,0.5307081986482516,0.3612,1.0,0.5282997615972038,0.3612,0.0,0.514940476190476,0.3612,5,1000,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\benchmark_full_20260403T184123Z\artifacts\albert-base-v2_sample_predictions.jsonl
pedagogical,roberta-base,0.3612,1.0,0.5307081986482516,0.3612,1.0,0.5282997615972038,0.3612,0.0,0.514940476190476,0.3612,5,1000,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\benchmark_full_20260403T181834Z\artifacts\roberta-base_sample_predictions.jsonl
pedagogical,bert_joint,0.39248203427307904,0.7862679955703211,0.523598820058997,0.4457475911882779,0.8097503602559473,0.5244045266755764,0.4832,0.039,0.5184833333333333,0.3825833333333334,5,1000,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\benchmark_full_20260403T174917Z\artifacts\bert_joint_sample_predictions.jsonl
pedagogical,distilbert-base-uncased,0.4233498935415188,0.6698483997754071,0.5188084366166558,0.4949552365446622,0.6873711471185457,0.5217632221700305,0.5574,0.055,0.5177166666666667,0.3879500000000001,5,1000,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\benchmark_full_20260404T082326Z\artifacts\distilbert-base-uncased_sample_predictions.jsonl
pedagogical,distilbert_joint,0.38502227171492204,0.7657807308970099,0.5124120044460911,0.45772708544803836,0.7948073285653724,0.5159022760439406,0.4736,0.032,0.5046071428571429,0.3689333333333334,5,1000,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\benchmark_full_20260403T175600Z\artifacts\distilbert_joint_sample_predictions.jsonl
pedagogical,bert-base-uncased,0.4249534450651769,0.6406513194834362,0.5109717868338558,0.48631810835600753,0.6568790866310772,0.5148121671366692,0.5632,0.07,0.5046095238095238,0.3818,5,1000,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\benchmark_full_20260404T093139Z\artifacts\bert-base-uncased_sample_predictions.jsonl
