index,href,text
1,https://www.sciencedirect.com/science/article/pii/S0360131511001333,"Denise M. Gikandi, D. Morrow, and N. E. Davis. 2011. Online formative assessment in higher education: A review of the literature . Computers & Education , 57(4), 2333-2351."
2,https://aclanthology.org/S14-2004/,"Maria Pontiki, Haris Papageorgiou, Dimitrios Galanis, Ion Androutsopoulos, John Pavlopoulos, and Suresh Manandhar. 2014. SemEval-2014 Task 4: Aspect Based Sentiment Analysis . Proceedings of the 8th International Workshop on Semantic Evaluation, pages 27-35."
3,https://aclanthology.org/S16-1002/,"Maria Pontiki, Dimitris Galanis, Haris Papageorgiou, Ion Androutsopoulos, Suresh Manandhar, Mohammad AL-Smadi, Mahmoud Al-Ayyoub, Yanyan Zhao, Bing Qin, Orphée De Clercq, Véronique Hoste, Marianna Apidianaki, Xavier Tannier, Natalia Loukachevitch, Evgeniy Kotelnikov, Nuria Bel, Salud María Jiménez-Zafra, and Gülşen Eryiğit. 2016. SemEval-2016 Task 5: Aspect Based Sentiment Analysis . Proceedings of SemEval-2016, pages 19-30."
4,https://aclanthology.org/N19-1423/,"Jacob Devlin, Ming-Wei Chang, Kenton Lee, and Kristina Toutanova. 2019. BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding . Proceedings of NAACL-HLT 2019, pages 4171-4186."
5,https://aclanthology.org/2023.findings-acl.612/,"Yice Zhang, Yifan Yang, Bin Liang, Shiwei Chen, Bing Qin, and Ruifeng Xu. 2023. An Empirical Study of Sentiment-Enhanced Pre-Training for Aspect-Based Sentiment Analysis . Findings of ACL 2023, pages 9633-9651."
6,https://aclanthology.org/2023.emnlp-main.647/,"Zhuoyan Li, Hangxiao Zhu, Zhuoran Lu, and Ming Yin. 2023. Synthetic Data Generation with Large Language Models for Text Classification: Potential and Limitations . EMNLP 2023, pages 10443-10461."
7,https://aclanthology.org/C16-1233/,"Charles Welch and Rada Mihalcea. 2016. Targeted Sentiment to Understand Student Comments . COLING 2016, pages 2471-2481."
8,https://aclanthology.org/L18-1425/,"Janaka Chathuranga, Shanika Ediriweera, Ravindu Hasantha, Pranidhith Munasinghe, and Surangika Ranathunga. 2018. Annotating Opinions and Opinion Targets in Student Course Feedback . LREC 2018 Workshop paper."
9,https://doi.org/10.1108/EL-06-2019-0140,"Nikola Nikolić, Olivera Grljević, and Aleksandar Kovačević. 2020. Aspect-based sentiment analysis of reviews in the domain of higher education . The Electronic Library , 38(1), 44-64."
10,https://doi.org/10.1109/ACCESS.2022.3177752,"Thanveer Shaik, Xiaohui Tao, Yan Li, Christopher Dann, Jacquie McDonald, Petrea Redmond, and Linda Galligan. 2022. A Review of the Trends and Challenges in Adopting Natural Language Processing Methods for Education Feedback Analysis . IEEE Access , 10, 56720-56739."
11,https://aclanthology.org/2022.lrec-1.219/,"Kushan Nilanga, Missaka Herath, Hashan Maduwantha, and Surangika Ranathunga. 2022. Dataset and Baseline for Automatic Student Feedback Analysis . Proceedings of the 13th Conference on Language Resources and Evaluation, pages 2042-2049."
12,https://aclanthology.org/2021.emnlp-main.362/,"Ting-Wei Hsu, Chung-Chi Chen, Hen-Hsen Huang, and Hsin-Hsi Chen. 2021. Semantics-Preserved Data Augmentation for Aspect-Based Sentiment Analysis . Proceedings of EMNLP 2021, pages 4067-4079."
13,https://aclanthology.org/2021.eacl-main.20/,"Timo Schick and Hinrich Schütze. 2021. Exploiting Cloze-Questions for Few-Shot Text Classification and Natural Language Inference . Proceedings of EACL 2021, pages 255-269."
