approach,aspect,accuracy,precision,recall,f1,specificity,balanced_accuracy,mcc,mse,threshold,tp,tn,fp,fn
tfidf_two_step,accessibility,0.646,0.14836795252225518,0.42735042735042733,0.22026431718061673,0.6749716874292185,0.5511610573898229,0.06957786135637628,0.6665690762891608,0.45,50,596,287,67
tfidf_two_step,assessment_design,0.924,0.6046511627906976,0.3058823529411765,0.40625,0.9814207650273225,0.6436515589842495,0.39497549535212384,0.6117458592455548,0.65,26,898,17,59
tfidf_two_step,clarity,0.851,0.18181818181818182,0.17204301075268819,0.17679558011049723,0.9206174200661521,0.5463302154094202,0.0949949848157902,0.756296665284026,0.6,16,835,72,77
tfidf_two_step,difficulty,0.706,0.14814814814814814,0.38461538461538464,0.21390374331550802,0.7433035714285714,0.563959478021978,0.08795535154998162,0.7227887920368119,0.45,40,666,230,64
tfidf_two_step,exam_fairness,0.903,0.618421052631579,0.40869565217391307,0.49214659685863876,0.9672316384180791,0.6879636452959961,0.4525656924675754,0.6165118431147826,0.6,47,856,29,68
tfidf_two_step,feedback_quality,0.578,0.10096153846153846,0.4666666666666667,0.16600790513833993,0.589010989010989,0.5278388278388279,0.03232732749566295,0.7103811944578498,0.4,42,536,374,48
tfidf_two_step,grading_transparency,0.86,0.34782608695652173,0.38095238095238093,0.36363636363636365,0.9162011173184358,0.6485767491354084,0.28553967381547624,0.6117763187179662,0.55,40,820,75,65
tfidf_two_step,interest,0.573,0.12093023255813953,0.5148514851485149,0.1958568738229755,0.5795328142380423,0.5471921496932786,0.057447169270665926,0.7221816111033639,0.4,52,521,378,49
tfidf_two_step,lecturer_quality,0.877,0.2962962962962963,0.15841584158415842,0.2064516129032258,0.9577308120133482,0.5580733267987533,0.15484770965982744,0.9541374641230504,0.65,16,861,38,85
tfidf_two_step,materials,0.845,0.3282442748091603,0.39090909090909093,0.35684647302904565,0.9011235955056179,0.6460163432073545,0.27081784218287835,0.6406788765791219,0.55,43,802,88,67
tfidf_two_step,organization,0.881,0.296875,0.20430107526881722,0.24203821656050956,0.9503858875413451,0.5773434814050812,0.18355698637401782,0.7564575732011642,0.6,19,862,45,74
tfidf_two_step,overall_experience,0.645,0.1148036253776435,0.38,0.17633410672853828,0.6744444444444444,0.5272222222222223,0.03470945300241959,0.5407197505303071,0.45,38,607,293,62
tfidf_two_step,pacing,0.88,0.36885245901639346,0.5113636363636364,0.42857142857142855,0.9155701754385965,0.7134669059011165,0.3695490863205331,0.6515321335237887,0.55,45,835,77,43
tfidf_two_step,peer_interaction,0.782,0.2358974358974359,0.4,0.2967741935483871,0.831638418079096,0.615819209039548,0.18651591709706766,0.7119894262691757,0.5,46,736,149,69
tfidf_two_step,practical_application,0.9,0.45,0.1875,0.2647058823529412,0.9756637168141593,0.5815818584070797,0.24528885130641637,0.9481874050365554,0.65,18,882,22,78
tfidf_two_step,prerequisite_fit,0.684,0.13651877133105803,0.3883495145631068,0.20202020202020202,0.717948717948718,0.5531491162559123,0.07099003006338973,0.7700371922837803,0.45,40,644,253,63
tfidf_two_step,relevance,0.696,0.11724137931034483,0.4146341463414634,0.1827956989247312,0.7211328976034859,0.5678835219724746,0.0820907938904288,0.8163495313036786,0.45,34,662,256,48
tfidf_two_step,support,0.12,0.09836065573770492,1.0,0.1791044776119403,0.02654867256637168,0.5132743362831859,0.05110131938212492,0.7704038210155583,0.15,96,24,880,0
tfidf_two_step,tooling_usability,0.854,0.31958762886597936,0.27927927927927926,0.2980769230769231,0.9257592800899888,0.602519279684634,0.21762970299228312,0.6456325821458332,0.6,31,823,66,80
tfidf_two_step,workload,0.909,0.44642857142857145,0.6329113924050633,0.5235602094240838,0.9326818675352877,0.7827966299701755,0.48376237967434904,0.5305735661783365,0.55,50,859,62,29
