approach,aspect,accuracy,precision,recall,f1,specificity,balanced_accuracy,mcc,mse,threshold,tp,tn,fp,fn
distilbert-base-uncased,accessibility,0.412,0.14175654853620956,0.7479674796747967,0.23834196891191708,0.36488027366020526,0.5564238766675009,0.07765498908267697,0.48288027230845054,0.44999999999999996,92,320,557,31
distilbert-base-uncased,assessment_design,0.912,0.6065573770491803,0.36633663366336633,0.4567901234567901,0.9733036707452726,0.6698201522043195,0.4276239694537116,0.555506344053995,0.7,37,875,24,64
distilbert-base-uncased,clarity,0.797,0.13245033112582782,0.21739130434782608,0.1646090534979424,0.8557268722466961,0.5365590882972611,0.05902280861719012,0.8061592300538905,0.65,20,777,131,72
distilbert-base-uncased,difficulty,0.893,0.4444444444444444,0.1553398058252427,0.2302158273381295,0.9777034559643255,0.5665216308947841,0.217079069023974,0.5873544900732668,0.6,16,877,20,87
distilbert-base-uncased,exam_fairness,0.935,0.8235294117647058,0.5137614678899083,0.632768361581921,0.9865319865319865,0.7501467272109474,0.6193191503386523,0.537718342592208,0.75,56,879,12,53
distilbert-base-uncased,feedback_quality,0.428,0.10194174757281553,0.7875,0.18051575931232092,0.3967391304347826,0.5921195652173913,0.10287145047135889,0.5974460472143763,0.44999999999999996,63,365,555,17
distilbert-base-uncased,grading_transparency,0.897,0.6417910447761194,0.3524590163934426,0.455026455026455,0.9726651480637813,0.662562082228612,0.42559664836667443,0.6477603173793055,0.5499999999999999,43,854,24,79
distilbert-base-uncased,interest,0.415,0.10163934426229508,0.6262626262626263,0.17489421720733428,0.39178690344062156,0.509024764851624,0.011052198140733365,0.5980834634149893,0.44999999999999996,62,353,548,37
distilbert-base-uncased,lecturer_quality,0.861,0.3333333333333333,0.39,0.35944700460829493,0.9133333333333333,0.6516666666666666,0.28311840936862026,0.5231506964848496,0.6,39,822,78,61
distilbert-base-uncased,materials,0.925,0.6964285714285714,0.4020618556701031,0.5098039215686274,0.9811738648947951,0.6916178602824491,0.49330522286012385,0.34876922227872104,0.7999999999999999,39,886,17,58
distilbert-base-uncased,organization,0.927,0.8048780487804879,0.336734693877551,0.4748201438848921,0.991130820399113,0.663932757138332,0.49159879938431456,0.3446648347501953,0.7,33,894,8,65
distilbert-base-uncased,overall_experience,0.363,0.12376933895921238,0.8627450980392157,0.21648216482164823,0.3062360801781737,0.5844905891086947,0.11282175896208607,0.7987864336160286,0.44999999999999996,88,275,623,14
distilbert-base-uncased,pacing,0.891,0.416,0.5909090909090909,0.48826291079812206,0.9199561403508771,0.755432615629984,0.43760882186624755,0.36059633342441744,0.7999999999999999,52,839,73,36
distilbert-base-uncased,peer_interaction,0.883,0.323943661971831,0.25,0.2822085889570552,0.947136563876652,0.598568281938326,0.2218538598451611,0.6787163692971935,0.5499999999999999,23,860,48,69
distilbert-base-uncased,practical_application,0.904,0.5106382978723404,0.24742268041237114,0.3333333333333333,0.9745293466223699,0.6109760135173705,0.31037982125748087,0.593022646692892,0.85,24,880,23,73
distilbert-base-uncased,prerequisite_fit,0.545,0.12606837606837606,0.5619047619047619,0.20593368237347295,0.5430167597765363,0.5524607608406491,0.06446025289935937,0.6498707510827907,0.5499999999999999,59,486,409,46
distilbert-base-uncased,relevance,0.314,0.11405835543766578,0.8269230769230769,0.20046620046620048,0.2544642857142857,0.5406936813186813,0.05768653100960332,0.6470546567885576,0.44999999999999996,86,228,668,18
distilbert-base-uncased,support,0.407,0.1130298273155416,0.72,0.19538670284938942,0.37222222222222223,0.5461111111111111,0.05753522409446854,0.6667803781363849,0.44999999999999996,72,335,565,28
distilbert-base-uncased,tooling_usability,0.924,0.575,0.2804878048780488,0.3770491803278688,0.9814814814814815,0.6309846431797652,0.36678623738159866,0.5697120627823808,0.7999999999999999,23,901,17,59
distilbert-base-uncased,workload,0.921,0.6868686868686869,0.5862068965517241,0.6325581395348837,0.9649321266968326,0.7755695116242783,0.5909303510418614,0.4381075285568573,0.65,68,853,31,48
