approach,aspect,accuracy,precision,recall,f1,specificity,balanced_accuracy,mcc,mse,threshold,tp,tn,fp,fn
bert-base-uncased,accessibility,0.665,0.18128654970760233,0.5299145299145299,0.2701525054466231,0.6828992072480181,0.606406868581274,0.1441939175380001,0.6785001692025558,0.49999999999999994,62,603,280,55
bert-base-uncased,assessment_design,0.935,0.7777777777777778,0.32941176470588235,0.4628099173553719,0.9912568306010929,0.6603342976534876,0.4800502187378494,0.6597068621444383,0.7,28,907,8,57
bert-base-uncased,clarity,0.844,0.18811881188118812,0.20430107526881722,0.1958762886597938,0.9095920617420066,0.5569465685054119,0.10977466997880446,0.843923260016661,0.6,19,825,82,74
bert-base-uncased,difficulty,0.797,0.2,0.3173076923076923,0.24535315985130113,0.8526785714285714,0.5849931318681318,0.13979746392755638,0.6396647944030437,0.49999999999999994,33,764,132,71
bert-base-uncased,exam_fairness,0.914,0.7377049180327869,0.391304347826087,0.5113636363636364,0.9819209039548022,0.6866126258904446,0.49750088950315147,0.4800551477864954,0.9,45,869,16,70
bert-base-uncased,feedback_quality,0.696,0.11510791366906475,0.35555555555555557,0.17391304347826086,0.7296703296703296,0.5426129426129426,0.05444054634858922,0.7588005631415058,0.5499999999999999,32,664,246,58
bert-base-uncased,grading_transparency,0.921,0.8823529411764706,0.2857142857142857,0.4316546762589928,0.9955307262569832,0.6406225059856345,0.47573266720832685,0.4728904516203329,0.85,30,891,4,75
bert-base-uncased,interest,0.295,0.10471204188481675,0.7920792079207921,0.18497109826589594,0.23915461624026696,0.5156169120805295,0.022164758972110406,0.50943838092644,0.49999999999999994,80,215,684,21
bert-base-uncased,lecturer_quality,0.881,0.40217391304347827,0.36633663366336633,0.38341968911917096,0.9388209121245829,0.6525787728939746,0.3181469823501794,0.5963779283511276,0.75,37,844,55,64
bert-base-uncased,materials,0.917,0.7368421052631579,0.38181818181818183,0.5029940119760479,0.9831460674157303,0.6824821246169561,0.49254781416872573,0.2957849277382983,0.7,42,875,15,68
bert-base-uncased,organization,0.92,0.696969696969697,0.24731182795698925,0.36507936507936506,0.9889746416758545,0.6181432348164219,0.3841614344476082,0.35953908441993204,0.65,23,897,10,70
bert-base-uncased,overall_experience,0.356,0.09882005899705015,0.67,0.17223650385604114,0.3211111111111111,0.4955555555555556,-0.005707237551382002,0.680244227529003,0.44999999999999996,67,289,611,33
bert-base-uncased,pacing,0.921,0.5542168674698795,0.5227272727272727,0.5380116959064327,0.9594298245614035,0.7410785486443381,0.49511217407186925,0.3334732073632514,0.65,46,875,37,42
bert-base-uncased,peer_interaction,0.866,0.36619718309859156,0.22608695652173913,0.27956989247311825,0.9491525423728814,0.5876197494473102,0.21767849533290026,0.5037620081834925,0.75,26,840,45,89
bert-base-uncased,practical_application,0.91,0.5681818181818182,0.2604166666666667,0.35714285714285715,0.9789823008849557,0.6196994837758112,0.34386408684102454,0.5771081191301346,0.75,25,885,19,71
bert-base-uncased,prerequisite_fit,0.774,0.19704433497536947,0.3883495145631068,0.26143790849673204,0.8182831661092531,0.60331634033618,0.15614808561078206,0.7677269773557782,0.49999999999999994,40,734,163,63
bert-base-uncased,relevance,0.879,0.19047619047619047,0.14634146341463414,0.16551724137931034,0.9444444444444444,0.5453929539295392,0.102519537318458,0.6320564905181527,0.6,12,867,51,70
bert-base-uncased,support,0.452,0.1103448275862069,0.6666666666666666,0.1893491124260355,0.42920353982300885,0.5479351032448377,0.057222239739716935,0.632704879692028,0.44999999999999996,64,388,516,32
bert-base-uncased,tooling_usability,0.906,0.6133333333333333,0.4144144144144144,0.4946236559139785,0.9673790776152981,0.6908967460148563,0.45534376380839875,0.6010806236679301,0.7,46,860,29,65
bert-base-uncased,workload,0.938,0.5934065934065934,0.6835443037974683,0.6352941176470588,0.9598262757871878,0.8216852897923281,0.6033952962567242,0.4302664720022154,0.65,54,884,37,25
