row_id,n_aspects,n_supported,n_matched,support_rate,match_rate,row_score
0,3,2,2,0.6667,0.6667,0.6667
1,2,1,1,0.5,0.5,0.5
2,3,2,2,0.6667,0.6667,0.6667
3,3,2,2,0.6667,0.6667,0.6667
4,3,2,1,0.6667,0.3333,0.3333
5,2,1,1,0.5,0.5,0.5
6,3,1,1,0.3333,0.3333,0.3333
7,3,1,1,0.3333,0.3333,0.3333
8,3,2,0,0.6667,0.0,0.0
9,2,1,1,0.5,0.5,0.5
10,2,1,1,0.5,0.5,0.5
11,4,2,2,0.5,0.5,0.5
12,3,2,1,0.6667,0.3333,0.3333
13,4,3,2,0.75,0.5,0.5
14,3,2,1,0.6667,0.3333,0.3333
15,4,1,1,0.25,0.25,0.25
16,2,1,1,0.5,0.5,0.5
17,4,3,2,0.75,0.5,0.5
18,3,2,1,0.6667,0.3333,0.3333
19,4,3,2,0.75,0.5,0.5
20,3,1,1,0.3333,0.3333,0.3333
21,4,3,1,0.75,0.25,0.25
22,2,1,1,0.5,0.5,0.5
23,2,0,0,0.0,0.0,0.0
24,3,1,0,0.3333,0.0,0.0
25,4,2,2,0.5,0.5,0.5
26,3,2,1,0.6667,0.3333,0.3333
27,3,2,1,0.6667,0.3333,0.3333
28,3,2,2,0.6667,0.6667,0.6667
29,3,2,1,0.6667,0.3333,0.3333
30,2,1,1,0.5,0.5,0.5
31,3,1,1,0.3333,0.3333,0.3333
32,4,2,1,0.5,0.25,0.25
33,3,2,2,0.6667,0.6667,0.6667
34,2,1,1,0.5,0.5,0.5
35,4,2,1,0.5,0.25,0.25
36,2,1,1,0.5,0.5,0.5
37,4,3,2,0.75,0.5,0.5
38,4,2,1,0.5,0.25,0.25
39,3,2,0,0.6667,0.0,0.0
40,2,1,1,0.5,0.5,0.5
41,3,2,1,0.6667,0.3333,0.3333
42,4,2,2,0.5,0.5,0.5
43,4,3,3,0.75,0.75,0.75
44,3,2,0,0.6667,0.0,0.0
45,3,1,0,0.3333,0.0,0.0
46,3,1,1,0.3333,0.3333,0.3333
47,3,2,2,0.6667,0.6667,0.6667
48,3,2,1,0.6667,0.3333,0.3333
49,2,1,1,0.5,0.5,0.5
50,3,2,2,0.6667,0.6667,0.6667
51,4,2,2,0.5,0.5,0.5
52,4,2,2,0.5,0.5,0.5
53,4,2,2,0.5,0.5,0.5
54,3,2,2,0.6667,0.6667,0.6667
55,3,2,1,0.6667,0.3333,0.3333
56,3,2,2,0.6667,0.6667,0.6667
57,3,2,2,0.6667,0.6667,0.6667
58,3,2,2,0.6667,0.6667,0.6667
59,3,2,1,0.6667,0.3333,0.3333
60,4,3,1,0.75,0.25,0.25
61,4,3,1,0.75,0.25,0.25
62,3,2,2,0.6667,0.6667,0.6667
63,2,0,0,0.0,0.0,0.0
64,2,0,0,0.0,0.0,0.0
65,3,2,1,0.6667,0.3333,0.3333
66,4,2,2,0.5,0.5,0.5
67,3,1,1,0.3333,0.3333,0.3333
68,3,2,2,0.6667,0.6667,0.6667
69,4,2,2,0.5,0.5,0.5
