aspect,accuracy,precision,recall,f1,threshold,tp,tn,fp,fn,n_true
materials,0.9165275459098498,0.9767441860465116,0.6363636363636364,0.7706422018348624,0.6,84,465,2,48,132
exam_fairness,0.9048414023372288,0.9863013698630136,0.5625,0.7164179104477612,0.65,72,470,1,56,128
workload,0.8931552587646077,0.7415730337078652,0.616822429906542,0.673469387755102,0.49999999999999994,66,469,23,41,107
clarity,0.8714524207011686,0.7948717948717948,0.5040650406504065,0.6169154228855721,0.6,62,460,16,61,123
support,0.8714524207011686,0.8833333333333333,0.43089430894308944,0.5792349726775956,0.65,53,469,7,70,123
lecturer_quality,0.8330550918196995,0.5945945945945946,0.5454545454545454,0.5689655172413793,0.5499999999999999,66,433,45,55,121
relevance,0.7829716193656093,0.45614035087719296,0.6782608695652174,0.5454545454545454,0.44999999999999996,78,391,93,37,115
difficulty,0.8113522537562604,0.5172413793103449,0.5128205128205128,0.5150214592274678,0.5499999999999999,60,426,56,57,117
overall_experience,0.8347245409015025,0.6493506493506493,0.4098360655737705,0.5025125628140703,0.6,50,450,27,72,122
interest,0.8113522537562604,0.4909090909090909,0.4864864864864865,0.48868778280542985,0.5499999999999999,54,432,56,57,111
