aspect,accuracy,precision,recall,f1,threshold,tp,tn,fp,fn,n_true
materials,0.9115191986644408,1.0,0.6015037593984962,0.7511737089201878,0.65,80,466,0,53,133
workload,0.8998330550918197,0.9518072289156626,0.5851851851851851,0.7247706422018348,0.6,79,460,4,56,135
exam_fairness,0.9048414023372288,0.8472222222222222,0.5700934579439252,0.6815642458100558,0.49999999999999994,61,481,11,46,107
clarity,0.8664440734557596,0.7160493827160493,0.5043478260869565,0.5918367346938775,0.6,58,461,23,57,115
relevance,0.8380634390651085,0.5271317829457365,0.6538461538461539,0.5836909871244635,0.49999999999999994,68,434,61,36,104
support,0.8547579298831386,0.7945205479452054,0.4461538461538462,0.5714285714285714,0.6,58,454,15,72,130
lecturer_quality,0.8247078464106845,0.56,0.5833333333333334,0.5714285714285714,0.5499999999999999,70,424,55,50,120
overall_experience,0.8297161936560935,0.6097560975609756,0.4166666666666667,0.49504950495049505,0.6,50,447,32,70,120
difficulty,0.8313856427378965,0.532608695652174,0.45794392523364486,0.49246231155778897,0.5499999999999999,49,449,43,58,107
interest,0.6343906510851419,0.34507042253521125,0.7480916030534351,0.472289156626506,0.39999999999999997,98,282,186,33,131
