aspect,n_eval,mse,mae,polarity_accuracy
overall_experience,50,0.3142546328931999,0.43453812076752174,0.52
exam_fairness,61,0.3219070525667021,0.4555704257694007,0.6229508196721312
materials,80,0.3457628197735164,0.47218689961945437,0.5375
lecturer_quality,70,0.34915619236791634,0.4764479833049133,0.5428571428571428
difficulty,49,0.5036084295850459,0.5558006058936258,0.5510204081632653
support,58,0.5102721783655757,0.5908085429226065,0.43103448275862066
relevance,68,0.5629388485804346,0.6249074853547381,0.4264705882352941
clarity,58,0.5701888976781136,0.5962918981647253,0.4482758620689655
workload,79,0.5818405958996897,0.6116751876154214,0.4810126582278481
interest,98,0.5833544960237598,0.629943350510505,0.4489795918367347
