dimension,category,incomplete_count,complete_count,incomplete_share,complete_share
aspect,accessibility,66,986,0.0478,0.0529
aspect,assessment_design,74,905,0.0535,0.0486
aspect,clarity,62,926,0.0449,0.0497
aspect,difficulty,72,921,0.0521,0.0494
aspect,exam_fairness,78,985,0.0564,0.0529
aspect,feedback_quality,73,868,0.0528,0.0466
aspect,grading_transparency,73,946,0.0528,0.0508
aspect,interest,60,909,0.0434,0.0488
aspect,lecturer_quality,67,945,0.0485,0.0507
aspect,materials,56,944,0.0405,0.0507
aspect,organization,77,963,0.0557,0.0517
aspect,overall_experience,60,960,0.0434,0.0515
aspect,pacing,87,931,0.0630,0.0500
aspect,peer_interaction,62,907,0.0449,0.0487
aspect,practical_application,76,887,0.0550,0.0476
aspect,prerequisite_fit,77,934,0.0557,0.0501
aspect,relevance,63,870,0.0456,0.0467
aspect,support,50,955,0.0362,0.0512
aspect,tooling_usability,69,947,0.0499,0.0508
aspect,workload,80,948,0.0579,0.0509
polarity,positive,503,6277,0.3640,0.3368
polarity,neutral,413,6252,0.2988,0.3355
polarity,negative,466,6108,0.3372,0.3277
aspect_count_mean,mean,,,1.6433,2.0348
review_length_words_mean,mean,,,100.0428,118.7775
audit_row_score_mean,mean,,,0.5725,0.5770
audit_support_rate_mean,mean,,,0.8448,0.8418
audit_match_rate_mean,mean,,,0.5725,0.5770
