gold_missed\pred_spurious,accessibility,assessment_design,clarity,difficulty,exam_fairness,feedback_quality,grading_transparency,interest,lecturer_quality,materials,organization,overall_experience,pacing,peer_interaction,practical_application,prerequisite_fit,relevance,support,tooling_usability,workload
accessibility,0,3,24,2,0,20,0,16,4,3,1,30,4,1,3,1,17,25,6,0
assessment_design,29,0,47,3,1,50,1,29,6,2,1,56,3,1,2,0,24,43,2,4
clarity,4,1,0,0,1,9,0,10,0,2,0,12,2,1,0,0,4,10,0,0
difficulty,32,4,39,0,0,45,0,32,3,4,2,51,2,1,3,2,21,43,3,3
exam_fairness,16,1,35,2,0,34,1,26,7,0,0,49,3,0,2,0,21,32,2,2
feedback_quality,2,0,6,0,2,0,1,0,2,1,1,13,2,0,0,0,0,7,3,1
grading_transparency,21,5,41,1,2,38,0,27,5,3,1,47,4,1,3,1,20,37,3,3
interest,10,1,27,1,2,19,1,0,3,2,1,33,6,2,1,0,6,22,2,3
lecturer_quality,19,2,42,0,0,37,1,24,0,2,0,47,5,0,4,0,19,36,1,3
materials,21,1,44,4,0,44,0,25,3,0,0,49,1,0,2,0,22,40,6,4
organization,33,0,51,0,0,46,0,36,5,0,0,60,5,1,0,4,27,52,6,1
overall_experience,1,1,2,1,0,0,0,0,0,1,0,0,3,0,0,0,1,2,0,0
pacing,17,0,32,1,2,30,0,20,5,2,0,41,0,0,1,1,12,27,3,3
peer_interaction,41,3,66,1,2,60,1,43,6,3,0,69,6,0,0,0,26,59,4,6
practical_application,26,2,36,1,0,46,0,28,5,3,1,52,8,2,0,4,20,47,5,2
prerequisite_fit,26,2,45,3,0,43,0,31,4,4,1,60,5,1,1,0,26,48,6,6
relevance,28,3,29,0,2,28,0,11,0,3,1,38,7,1,0,1,0,34,4,3
support,8,1,13,1,1,10,1,6,1,0,1,17,1,0,1,0,5,0,3,2
tooling_usability,25,4,35,2,0,41,1,32,5,2,1,41,4,0,2,0,18,35,0,1
workload,22,1,32,0,2,29,0,23,5,1,1,33,3,0,0,0,12,30,0,0
