aspect,support,pred_pos,tp,fp,fn,precision,recall,f1,fn_rate,fp_rate,error_count,error_rate
overall_experience,1480,94,78,16,1402,0.8298,0.0527,0.0991,0.9473,0.08,1418,0.844
support,100,1124,76,1048,24,0.0676,0.76,0.1242,0.24,0.6633,1072,0.6381
clarity,466,822,313,509,153,0.3808,0.6717,0.486,0.3283,0.4193,662,0.394
relevance,192,625,101,524,91,0.1616,0.526,0.2472,0.474,0.3522,615,0.3661
lecturer_quality,792,364,312,52,480,0.8571,0.3939,0.5398,0.6061,0.0586,532,0.3167
difficulty,288,236,63,173,225,0.2669,0.2188,0.2405,0.7812,0.1243,398,0.2369
assessment_design,358,107,50,57,308,0.4673,0.1397,0.2151,0.8603,0.0431,365,0.2173
materials,363,92,61,31,302,0.663,0.168,0.2681,0.832,0.0235,333,0.1982
workload,140,4,2,2,138,0.5,0.0143,0.0278,0.9857,0.0013,140,0.0833
organization,19,61,0,61,19,0.0,0.0,0.0,1.0,0.0367,80,0.0476
grading_transparency,47,41,20,21,27,0.4878,0.4255,0.4545,0.5745,0.0129,48,0.0286
