aspect,support,pred_pos,tp,fp,fn,precision,recall,f1,fn_rate,fp_rate,error_count,error_rate
overall_experience,117,755,95,660,22,0.1258,0.812,0.2179,0.188,0.7475,682,0.682
clarity,99,609,71,538,28,0.1166,0.7172,0.2006,0.2828,0.5971,566,0.566
support,96,591,62,529,34,0.1049,0.6458,0.1805,0.3542,0.5852,563,0.563
feedback_quality,82,591,66,525,16,0.1117,0.8049,0.1961,0.1951,0.5719,541,0.541
interest,90,395,44,351,46,0.1114,0.4889,0.1814,0.5111,0.3857,397,0.397
accessibility,92,349,45,304,47,0.1289,0.4891,0.2041,0.5109,0.3348,351,0.351
relevance,105,303,51,252,54,0.1683,0.4857,0.25,0.5143,0.2816,306,0.306
lecturer_quality,101,95,38,57,63,0.4,0.3762,0.3878,0.6238,0.0634,120,0.12
peer_interaction,107,23,9,14,98,0.3913,0.0841,0.1385,0.9159,0.0157,112,0.112
pacing,106,110,55,55,51,0.5,0.5189,0.5093,0.4811,0.0615,106,0.106
difficulty,95,42,16,26,79,0.381,0.1684,0.2336,0.8316,0.0287,105,0.105
prerequisite_fit,97,36,14,22,83,0.3889,0.1443,0.2105,0.8557,0.0244,105,0.105
tooling_usability,107,90,48,42,59,0.5333,0.4486,0.4873,0.5514,0.047,101,0.101
assessment_design,109,65,38,27,71,0.5846,0.3486,0.4368,0.6514,0.0303,98,0.098
materials,94,62,32,30,62,0.5161,0.3404,0.4103,0.6596,0.0331,92,0.092
organization,106,47,33,14,73,0.7021,0.3113,0.4314,0.6887,0.0157,87,0.087
practical_application,96,45,27,18,69,0.6,0.2812,0.383,0.7188,0.0199,87,0.087
workload,104,87,56,31,48,0.6437,0.5385,0.5864,0.4615,0.0346,79,0.079
exam_fairness,102,56,42,14,60,0.75,0.4118,0.5316,0.5882,0.0156,74,0.074
grading_transparency,108,48,43,5,65,0.8958,0.3981,0.5513,0.6019,0.0056,70,0.07
