arm,requested,seed,n_real_train,micro_f1
real_only,100,17,100,0.5645
real_only,100,23,100,0.5666
real_only,100,41,100,0.5391
real_only,100,42,100,0.5164
real_only,100,89,100,0.4562
real_only,250,17,250,0.5877
real_only,250,23,250,0.6325
real_only,250,41,250,0.6215
real_only,250,42,250,0.5878
real_only,250,89,250,0.5944
real_only,500,17,500,0.6049
real_only,500,23,500,0.6653
real_only,500,41,500,0.7176
real_only,500,42,500,0.6699
real_only,500,89,500,0.659
real_only,1000,17,1000,0.7459
real_only,1000,23,1000,0.7601
real_only,1000,41,1000,0.728
real_only,1000,42,1000,0.7283
real_only,1000,89,1000,0.6486
real_only,,17,1980,0.7219
real_only,,23,1980,0.7856
real_only,,41,1980,0.7885
real_only,,42,1980,0.7587
real_only,,89,1980,0.7947
synth_pretrain_finetune,100,17,100,0.6246
synth_pretrain_finetune,100,23,100,0.6841
synth_pretrain_finetune,100,41,100,0.6091
synth_pretrain_finetune,100,42,100,0.5422
synth_pretrain_finetune,100,89,100,0.4964
synth_pretrain_finetune,250,17,250,0.624
synth_pretrain_finetune,250,23,250,0.7035
synth_pretrain_finetune,250,41,250,0.6868
synth_pretrain_finetune,250,42,250,0.6535
synth_pretrain_finetune,250,89,250,0.5915
synth_pretrain_finetune,500,17,500,0.6933
synth_pretrain_finetune,500,23,500,0.7362
synth_pretrain_finetune,500,41,500,0.7142
synth_pretrain_finetune,500,42,500,0.6996
synth_pretrain_finetune,500,89,500,0.5674
synth_pretrain_finetune,1000,17,1000,0.7353
synth_pretrain_finetune,1000,23,1000,0.7532
synth_pretrain_finetune,1000,41,1000,0.7614
synth_pretrain_finetune,1000,42,1000,0.7497
synth_pretrain_finetune,1000,89,1000,0.7208
synth_pretrain_finetune,,17,1980,0.7819
synth_pretrain_finetune,,23,1980,0.8038
synth_pretrain_finetune,,41,1980,0.7854
synth_pretrain_finetune,,42,1980,0.7645
synth_pretrain_finetune,,89,1980,0.7652
