family,eval_scope,group,group_micro_f1,group_macro_f1,group_balanced_accuracy,group_specificity,group_mcc,group_sentiment_mse,n_aspects
Best real-transfer,real_overlap_9,Instructional Quality,0.729504400185271,0.4315302717403048,0.6263371410001964,0.8793866107675161,0.2563610502308505,0.33857666571090006,2
Best real-transfer,real_overlap_9,Assessment & Course Mgmt,0.23076923076923078,0.2116658172616544,0.6195317678876318,0.8979851730593346,0.185699692522278,0.3124313782018886,4
Best real-transfer,real_overlap_9,Learning Demand & Readiness,0.28888888888888886,0.2888888888888888,0.5863035584604213,0.9992737835875092,0.3818243508887001,0.4244763339654757,1
Best real-transfer,real_overlap_9,Learning Environment,0.00966183574879227,0.0096618357487922,0.48368442581041,0.9387974230493916,-0.0150945294986249,0.0002373149764025,1
Best real-transfer,real_overlap_9,Engagement & Value,0.33661971830985915,0.3366197183098591,0.5318572679343566,0.2055457746478873,0.0641979274775976,0.6311744322128902,1
Best GPT,synthetic_20,Instructional Quality,0.22750424448217318,0.24603588339918214,0.5890901037681248,0.8165492403398931,0.15472550654178746,,4
Best GPT,synthetic_20,Assessment & Course Mgmt,0.3235494880546075,0.3583943216203525,0.644578406012087,0.8440705255288549,0.28735962457415287,,5
Best GPT,synthetic_20,Learning Demand & Readiness,0.271244635193133,0.24915933703006318,0.6069487321951021,0.8312643773633888,0.18697588724677444,,4
Best GPT,synthetic_20,Learning Environment,0.20709219858156028,0.20743676086646445,0.5588864784696628,0.8752845827463598,0.13616708706013336,,3
Best GPT,synthetic_20,Engagement & Value,0.11693548387096774,0.10978963244190626,0.5285940558766041,0.9835941709717675,0.09652765730100168,,4
Best joint,synthetic_20,Instructional Quality,0.23221884498480244,0.2968849921169814,0.6118294128448619,0.7039140385488407,0.23695408611003643,0.4178642498191944,4
Best joint,synthetic_20,Assessment & Course Mgmt,0.43953185955786733,0.43514064194629565,0.6513010066556342,0.9847950890477962,0.44657434946272456,0.44018579550184683,5
Best joint,synthetic_20,Learning Demand & Readiness,0.25524861878453037,0.3599793981973213,0.626363120588395,0.6742436063375562,0.2638975415731254,0.5100408603044476,4
Best joint,synthetic_20,Learning Environment,0.18813660874775315,0.20037214247740556,0.5509838293100594,0.5522207738849162,0.09190881120132997,0.65845231461137,3
Best joint,synthetic_20,Engagement & Value,0.24724602203182375,0.2730829001936236,0.5997915543574097,0.713227797359508,0.17639138280411373,0.6241778710488944,4
Best local two-step,synthetic_20,Instructional Quality,0.23889209463358338,0.29867829634648363,0.6216483518257945,0.6836184732442202,0.22421860013528888,0.4808177754287434,4
Best local two-step,synthetic_20,Assessment & Course Mgmt,0.48687350835322196,0.4876782847574731,0.6804264550823927,0.9771617916048626,0.47152729091504586,0.431401485555374,5
Best local two-step,synthetic_20,Learning Demand & Readiness,0.41654357459379615,0.3849374129848683,0.6526085537516232,0.9626970043710875,0.3476231484780187,0.4631823920095863,4
Best local two-step,synthetic_20,Learning Environment,0.18441971383147854,0.17434602550011158,0.5472366121303881,0.6881145850445588,0.09034736571617623,0.7039387351663651,3
Best local two-step,synthetic_20,Engagement & Value,0.22770199370409233,0.258077982657552,0.5791471352487743,0.641339523855302,0.1540431461138131,0.5067245437383474,4
