aspect,bucket,n_seeds,f1_mean,f1_std,threshold_mean,threshold_std
accessibility,top25,4,0.035,0.008,0.475,0.119
accessibility,top50,4,0.038,0.013,0.55,0.071
accessibility,full,4,0.027,0.006,0.5,0.041
accessibility,bot25,4,0.029,0.009,0.475,0.096
accessibility,random_5k,4,0.041,0.026,0.525,0.104
assessment_design,top25,4,0.116,0.072,0.688,0.229
assessment_design,top50,4,0.131,0.064,0.725,0.132
assessment_design,full,4,0.165,0.12,0.537,0.111
assessment_design,bot25,4,0.155,0.002,0.263,0.165
assessment_design,random_5k,4,0.129,0.034,0.637,0.118
exam_fairness,top25,4,0.337,0.144,0.762,0.278
exam_fairness,top50,4,0.58,0.101,0.675,0.176
exam_fairness,full,4,0.51,0.119,0.65,0.108
exam_fairness,bot25,4,0.125,0.004,0.312,0.18
exam_fairness,random_5k,4,0.61,0.077,0.688,0.144
grading_transparency,top25,4,0.155,0.127,0.65,0.227
grading_transparency,top50,4,0.22,0.108,0.7,0.158
grading_transparency,full,4,0.164,0.066,0.637,0.075
grading_transparency,bot25,4,0.112,0.012,0.387,0.229
grading_transparency,random_5k,4,0.154,0.104,0.738,0.155
lecturer_quality,top25,4,0.428,0.083,0.6,0.071
lecturer_quality,top50,4,0.583,0.057,0.562,0.048
lecturer_quality,full,4,0.532,0.264,0.625,0.144
lecturer_quality,bot25,4,0.788,0.159,0.337,0.165
lecturer_quality,random_5k,4,0.697,0.136,0.512,0.085
materials,top25,4,0.039,0.016,0.7,0.091
materials,top50,4,0.153,0.099,0.6,0.158
materials,full,4,0.101,0.05,0.712,0.125
materials,bot25,4,0.242,0.001,0.263,0.155
materials,random_5k,4,0.102,0.11,0.688,0.193
organization,top25,4,0.156,0.091,0.675,0.104
organization,top50,4,0.114,0.042,0.65,0.071
organization,full,4,0.164,0.054,0.612,0.085
organization,bot25,4,0.251,0.095,0.475,0.096
organization,random_5k,4,0.204,0.067,0.55,0.135
overall_experience,top25,4,0.304,0.021,0.537,0.125
overall_experience,top50,4,0.341,0.011,0.525,0.029
overall_experience,full,4,0.333,0.009,0.5,0.071
overall_experience,bot25,4,0.329,0.0,0.125,0.15
overall_experience,random_5k,4,0.326,0.012,0.5,0.0
workload,top25,4,0.327,0.069,0.738,0.144
workload,top50,4,0.28,0.082,0.775,0.132
workload,full,4,0.327,0.07,0.7,0.129
workload,bot25,4,0.28,0.09,0.637,0.17
workload,random_5k,4,0.302,0.086,0.712,0.103
