bucket,seed,n_real_reviews,n_overlap_aspects,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,macro_balanced_accuracy,sentiment_mse_detected
top25,42,2829,9,0.5721484196060467,0.2912100722779203,0.38597033374536466,0.403397441089699,0.21435469211942224,0.23114405794988935,0.5798550028609519,0.37230851030042633
top25,17,2829,9,0.2915129151291513,0.22103054325017488,0.25142554037926007,0.45683128598464356,0.2198771236327038,0.175822865529723,0.5546550490038881,0.35458588310909633
top25,23,2829,9,0.19246669728984842,0.19538353928654698,0.1939141501793359,0.49427022743536636,0.25309004474999264,0.20048271565039802,0.5506521240175126,0.4150439835761929
top25,41,2829,9,0.2506195275070213,0.3536955001165773,0.2933668536066525,0.4237908348884549,0.3497330797627769,0.23657168590566233,0.5660375994546227,0.39223219542785615
top50,42,2829,9,0.4381954887218045,0.33970622522732574,0.38271604938271603,0.57252502579712,0.25048033562826877,0.24403962821491815,0.5753772718616387,0.33133157083740905
top50,17,2829,9,0.27880512091038406,0.3655863837724411,0.3163522647029154,0.5313138896501144,0.3221324476717318,0.2396089548951689,0.5612156892289408,0.3313065411851253
top50,23,2829,9,0.33496126641966995,0.4637444625786897,0.38897037254326783,0.4508451768026524,0.425448907609333,0.32951446334537837,0.617232234184417,0.3537479230472591
top50,41,2829,9,0.343213058419244,0.37258102121706693,0.3572945779765232,0.43542369511552714,0.32417226584823744,0.27103177434227294,0.5882945026018063,0.3618337056115612
full,42,2829,9,0.2791963950431844,0.3467008626719515,0.3093083723348934,0.5271321430315913,0.3533953889566414,0.26639455422269825,0.5874348536615569,0.37812413331312295
full,17,2829,9,0.30974316024567283,0.5173700163208207,0.38749672574871213,0.5233997016710027,0.34777280543041084,0.24643196693008487,0.5507644981975611,0.3506767653376986
full,23,2829,9,0.16075471698113208,0.19864770342737234,0.17770361872979457,0.4238759115808365,0.30180934366901696,0.21877532578940584,0.5539573765915282,0.4163452869239206
full,41,2829,9,0.3930370045982045,0.4185124737701096,0.40537488708220415,0.4850127719326341,0.3614731083960056,0.3007113340178472,0.6149045406931968,0.331441013321033
bot25,42,2829,9,0.1971280698193627,0.9058055490790394,0.32379047380922615,0.21976038403800155,0.8217797689133951,0.2765825702141517,0.5329837913006839,0.7673371075998452
bot25,17,2829,9,0.23424342944628732,0.8561436232221963,0.36784372652141245,0.2494679183142633,0.6500126223775746,0.2530910954196841,0.5184483255287073,0.9404357370359873
bot25,23,2829,9,0.14763157894736842,0.6539986010725111,0.2408862553136674,0.2321188922350902,0.7586951543181918,0.2356906768712163,0.5112822664338843,0.6191215443118446
bot25,41,2829,9,0.2155304836061232,0.9487059920727442,0.3512603591160221,0.28287638911974633,0.8166802488761659,0.2614006677611911,0.5404342815802605,0.6623074208400902
random_5k,42,2829,9,0.43470304441856594,0.609232921426906,0.507378640776699,0.46412705104577096,0.40856964361671216,0.32572341066881355,0.6014558442932283,0.46796672252176946
random_5k,17,2829,9,0.24308672361372521,0.39146654231755657,0.29992854590925333,0.43268204131585974,0.3979399405317348,0.2706438854805699,0.5769475086260241,0.3452686092776245
random_5k,23,2829,9,0.28371407516580693,0.5385870832361855,0.3716515163703644,0.425690572783906,0.45220809785058,0.2905465641858107,0.5859801383404465,0.4086349433415573
random_5k,41,2829,9,0.49615384615384617,0.4210771741664724,0.45554294362466896,0.5366125471396143,0.2826967636396706,0.2528236850899554,0.5883146470761473,0.3839739668383705
