arch,target,contrast,metric,n_seeds,mean_delta,ci_lo,ci_hi,wins,excludes_zero
bert-base-uncased,herath,top50 - random_5k,sentiment_mse_detected,8,-0.0543,-0.09,-0.0197,7/8,YES
bert-base-uncased,herath,top50 - random_5k,macro_balanced_accuracy,8,-0.0007,-0.0153,0.0166,2/8,no
bert-base-uncased,herath,top50 - random_5k,macro_f1,8,-0.0049,-0.041,0.0353,3/8,no
bert-base-uncased,herath,top50 - random_5k,micro_f1,8,-0.032,-0.1,0.0416,3/8,no
bert-base-uncased,herath,top50 - full,sentiment_mse_detected,8,0.0049,-0.0361,0.0487,4/8,no
bert-base-uncased,herath,top50 - full,macro_balanced_accuracy,8,0.0035,-0.0144,0.0239,4/8,no
bert-base-uncased,herath,top50 - full,macro_f1,8,0.0091,-0.0277,0.0486,3/8,no
bert-base-uncased,herath,top50 - full,micro_f1,8,-0.0135,-0.0946,0.0696,3/8,no
bert-base-uncased,herath,bot25 - full,sentiment_mse_detected,8,0.3583,0.295,0.4361,0/8,YES
bert-base-uncased,herath,bot25 - full,macro_balanced_accuracy,8,-0.058,-0.0707,-0.0445,0/8,YES
bert-base-uncased,herath,bot25 - full,macro_f1,8,-0.0109,-0.044,0.0152,5/8,no
bert-base-uncased,herath,bot25 - full,micro_f1,8,-0.0473,-0.1374,0.0169,3/8,no
bert-base-uncased,herath,top25 - full,sentiment_mse_detected,8,0.0377,0.0102,0.0692,2/8,YES
bert-base-uncased,herath,top25 - full,macro_balanced_accuracy,8,-0.0145,-0.0281,-0.0023,2/8,YES
bert-base-uncased,herath,top25 - full,macro_f1,8,-0.0354,-0.0545,-0.0131,1/8,YES
bert-base-uncased,herath,top25 - full,micro_f1,8,-0.0377,-0.0889,0.0152,3/8,no
bert-base-uncased,herath,random_5k - full,sentiment_mse_detected,8,0.0592,0.0261,0.0918,2/8,YES
bert-base-uncased,herath,random_5k - full,macro_balanced_accuracy,8,0.0042,-0.01,0.0183,5/8,no
bert-base-uncased,herath,random_5k - full,macro_f1,8,0.014,-0.0243,0.053,5/8,no
bert-base-uncased,herath,random_5k - full,micro_f1,8,0.0185,-0.0907,0.1281,4/8,no
bert-base-uncased,edurabsa,top50 - random_5k,sentiment_mse_detected,8,-0.0376,-0.1137,0.0479,5/8,no
bert-base-uncased,edurabsa,top50 - random_5k,macro_balanced_accuracy,8,-0.0145,-0.0225,-0.0054,1/8,YES
bert-base-uncased,edurabsa,top50 - random_5k,macro_f1,8,-0.0417,-0.0606,-0.0246,0/8,YES
bert-base-uncased,edurabsa,top50 - random_5k,micro_f1,8,-0.0652,-0.1047,-0.0274,1/8,YES
bert-base-uncased,edurabsa,top50 - full,sentiment_mse_detected,8,0.0161,-0.0618,0.0913,3/8,no
bert-base-uncased,edurabsa,top50 - full,macro_balanced_accuracy,8,-0.0096,-0.0178,0.0002,2/8,no
bert-base-uncased,edurabsa,top50 - full,macro_f1,8,-0.0248,-0.0425,-0.0092,1/8,YES
bert-base-uncased,edurabsa,top50 - full,micro_f1,8,-0.0591,-0.1072,-0.0119,2/8,YES
bert-base-uncased,edurabsa,bot25 - full,sentiment_mse_detected,8,0.4159,0.342,0.4801,0/8,YES
bert-base-uncased,edurabsa,bot25 - full,macro_balanced_accuracy,8,-0.034,-0.0449,-0.0219,1/8,YES
bert-base-uncased,edurabsa,bot25 - full,macro_f1,8,0.0098,-0.0213,0.0376,4/8,no
bert-base-uncased,edurabsa,bot25 - full,micro_f1,8,-0.0765,-0.119,-0.0238,1/8,YES
bert-base-uncased,edurabsa,top25 - full,sentiment_mse_detected,8,0.0338,-0.0333,0.0949,2/8,no
bert-base-uncased,edurabsa,top25 - full,macro_balanced_accuracy,8,-0.0137,-0.0272,-0.0006,2/8,YES
bert-base-uncased,edurabsa,top25 - full,macro_f1,8,-0.0284,-0.0595,0.0068,1/8,no
bert-base-uncased,edurabsa,top25 - full,micro_f1,8,-0.0431,-0.0793,-0.0141,0/8,YES
bert-base-uncased,edurabsa,random_5k - full,sentiment_mse_detected,8,0.0537,-0.0165,0.1194,3/8,no
bert-base-uncased,edurabsa,random_5k - full,macro_balanced_accuracy,8,0.0049,0.0006,0.0093,6/8,YES
bert-base-uncased,edurabsa,random_5k - full,macro_f1,8,0.0169,0.0035,0.0302,6/8,YES
