arch,target,bucket,n_seeds,sentiment_mse_detected_mean,sentiment_mse_detected_std,sentiment_mse_detected_ci_lo,sentiment_mse_detected_ci_hi,macro_balanced_accuracy_mean,macro_balanced_accuracy_std,macro_balanced_accuracy_ci_lo,macro_balanced_accuracy_ci_hi,macro_f1_mean,macro_f1_std,macro_f1_ci_lo,macro_f1_ci_hi,micro_f1_mean,micro_f1_std,micro_f1_ci_lo,micro_f1_ci_hi
bert-base-uncased,herath,top25,8,0.389,0.0276,0.3717,0.4076,0.5659,0.0128,0.5578,0.5744,0.2219,0.0233,0.2055,0.2354,0.3165,0.0826,0.2632,0.3702
bert-base-uncased,herath,top50,8,0.3563,0.042,0.331,0.3852,0.5839,0.0202,0.5715,0.5975,0.2664,0.041,0.2415,0.2937,0.3407,0.0465,0.3094,0.3685
bert-base-uncased,herath,full,8,0.3513,0.0361,0.3297,0.3754,0.5804,0.0236,0.5657,0.5956,0.2573,0.0337,0.2348,0.2785,0.3542,0.1069,0.2834,0.4217
bert-base-uncased,herath,bot25,8,0.7097,0.1037,0.6542,0.7845,0.5224,0.0105,0.5159,0.5295,0.2464,0.0308,0.2234,0.2629,0.3069,0.0616,0.2648,0.343
bert-base-uncased,herath,random_5k,8,0.4105,0.0366,0.3864,0.4339,0.5846,0.0118,0.577,0.592,0.2714,0.0387,0.2461,0.2958,0.3727,0.1041,0.3045,0.437
bert-base-uncased,edurabsa,top25,8,0.5166,0.0696,0.4705,0.5585,0.5321,0.02,0.5192,0.5452,0.2747,0.0439,0.2452,0.3019,0.4049,0.0577,0.3686,0.4428
bert-base-uncased,edurabsa,top50,8,0.4988,0.0854,0.4481,0.559,0.5363,0.0091,0.5306,0.5422,0.2782,0.0138,0.2692,0.287,0.389,0.0386,0.3642,0.4138
bert-base-uncased,edurabsa,full,8,0.4827,0.083,0.4343,0.5412,0.5458,0.0077,0.5403,0.5505,0.303,0.0201,0.2898,0.3157,0.4481,0.0541,0.4095,0.4791
bert-base-uncased,edurabsa,bot25,8,0.8986,0.0514,0.8671,0.934,0.5118,0.0124,0.5038,0.5199,0.3129,0.0433,0.2836,0.3385,0.3716,0.0643,0.3278,0.4098
bert-base-uncased,edurabsa,random_5k,8,0.5364,0.053,0.5034,0.5719,0.5507,0.0069,0.546,0.555,0.3199,0.0213,0.3055,0.3332,0.4542,0.0467,0.4232,0.483
distilbert-base-uncased,herath,top25,8,0.398,0.0306,0.3785,0.4178,0.5607,0.0126,0.5527,0.5688,0.2227,0.0272,0.2061,0.241,0.3096,0.0451,0.281,0.3389
distilbert-base-uncased,herath,top50,8,0.359,0.0334,0.3394,0.3824,0.5844,0.0176,0.5725,0.5952,0.2588,0.0217,0.2442,0.2722,0.347,0.066,0.3035,0.3907
distilbert-base-uncased,herath,full,8,0.3994,0.0469,0.369,0.4288,0.5817,0.0167,0.5706,0.5923,0.2616,0.0306,0.2423,0.2819,0.3113,0.1102,0.2443,0.3899
distilbert-base-uncased,herath,bot25,8,0.7403,0.1318,0.6603,0.8262,0.5196,0.0147,0.5113,0.5301,0.2497,0.0298,0.2281,0.2648,0.2988,0.0538,0.2605,0.3236
distilbert-base-uncased,herath,random_5k,8,0.4216,0.0867,0.3724,0.4844,0.5806,0.0074,0.5754,0.5846,0.2551,0.0227,0.2393,0.2685,0.369,0.0591,0.3283,0.4052
distilbert-base-uncased,edurabsa,top25,8,0.6132,0.114,0.5437,0.6873,0.5192,0.0114,0.5118,0.5266,0.2716,0.0268,0.2542,0.2891,0.3996,0.0501,0.3681,0.4331
distilbert-base-uncased,edurabsa,top50,8,0.5378,0.0662,0.4956,0.581,0.5372,0.0055,0.534,0.5413,0.3017,0.0163,0.2907,0.3119,0.4166,0.044,0.3867,0.4427
distilbert-base-uncased,edurabsa,full,8,0.5019,0.0522,0.4694,0.5371,0.5431,0.0101,0.5357,0.5481,0.3028,0.0201,0.2892,0.3151,0.4348,0.0416,0.407,0.4606
distilbert-base-uncased,edurabsa,bot25,8,0.8726,0.0243,0.8563,0.8879,0.511,0.0068,0.5068,0.5156,0.3357,0.0331,0.314,0.3561,0.403,0.028,0.3839,0.4198
distilbert-base-uncased,edurabsa,random_5k,8,0.5658,0.0681,0.5206,0.6093,0.5433,0.0039,0.5407,0.5459,0.3012,0.0297,0.2829,0.3209,0.4278,0.0524,0.3911,0.4573
