architecture,target,bucket,n_seeds,sentiment_mse_detected_mean,sentiment_mse_detected_std,micro_recall_mean,micro_recall_std,micro_precision_mean,micro_precision_std,micro_f1_mean,micro_f1_std
bert,herath,top25,8,0.389,0.0276,0.2929,0.0642,0.3729,0.1586,0.3165,0.0826
bert,herath,top50,8,0.3563,0.042,0.3709,0.0777,0.324,0.0534,0.3407,0.0465
bert,herath,full,8,0.3513,0.0361,0.3802,0.1087,0.3427,0.1387,0.3542,0.1069
bert,herath,bot25,8,0.7097,0.1037,0.7925,0.158,0.1906,0.0392,0.3069,0.0616
bert,herath,random_5k,8,0.4105,0.0366,0.4378,0.1346,0.3335,0.1067,0.3727,0.1041
distilbert,herath,top25,8,0.398,0.0306,0.3166,0.0843,0.3364,0.1081,0.3096,0.0451
distilbert,herath,top50,8,0.359,0.0334,0.3518,0.0466,0.3555,0.1113,0.347,0.066
distilbert,herath,full,8,0.3994,0.0469,0.3459,0.1121,0.2892,0.1178,0.3113,0.1102
distilbert,herath,bot25,8,0.7403,0.1318,0.7839,0.1623,0.185,0.0337,0.2988,0.0538
distilbert,herath,random_5k,8,0.4216,0.0867,0.4282,0.1062,0.332,0.0474,0.369,0.0591
bert,edurabsa,top25,8,0.5166,0.0696,0.388,0.0702,0.4329,0.079,0.4049,0.0577
bert,edurabsa,top50,8,0.4988,0.0854,0.3686,0.0596,0.4262,0.0801,0.389,0.0386
bert,edurabsa,full,8,0.4827,0.083,0.4435,0.0971,0.4665,0.0686,0.4481,0.0541
bert,edurabsa,bot25,8,0.8986,0.0514,0.6513,0.1702,0.2616,0.0381,0.3716,0.0643
bert,edurabsa,random_5k,8,0.5364,0.053,0.4866,0.0945,0.4363,0.0412,0.4542,0.0467
distilbert,edurabsa,top25,8,0.6132,0.114,0.4163,0.0695,0.3898,0.0556,0.3996,0.0501
distilbert,edurabsa,top50,8,0.5378,0.0662,0.4356,0.0755,0.4051,0.0349,0.4166,0.044
distilbert,edurabsa,full,8,0.5019,0.0522,0.4344,0.0621,0.4379,0.0268,0.4348,0.0416
distilbert,edurabsa,bot25,8,0.8726,0.0243,0.7317,0.0998,0.2794,0.019,0.403,0.028
distilbert,edurabsa,random_5k,8,0.5658,0.0681,0.4506,0.1053,0.4242,0.0714,0.4278,0.0524
