approach,aspect,accuracy,precision,recall,f1,mse,threshold,tp,tn,fp,fn,eval_split,specificity,balanced_accuracy,mcc
tfidf_two_step,accessibility,0.5918367346938775,0.1818181818181818,0.5306122448979592,0.2708333333333333,0.6394672957016715,0.449999988079071,52,354,234,46,synthetic_overlap_test,0.6020408163265306,0.5663265306122449,0.09414688716912718
tfidf_two_step,assessment_design,0.89067055393586,0.6612903225806451,0.431578947368421,0.5222929936305732,0.7548979735001922,0.6000000238418579,41,570,21,54,synthetic_overlap_test,0.9644670050761421,0.6980229762222816,0.4771039176382194
tfidf_two_step,exam_fairness,0.8775510204081632,0.7575757575757576,0.423728813559322,0.5434782608695652,0.6737880806834436,0.6000000238418579,50,552,16,68,synthetic_overlap_test,0.971830985915493,0.6977798997374075,0.5062435547705596
tfidf_two_step,grading_transparency,0.8046647230320699,0.3888888888888889,0.4622641509433962,0.4224137931034483,0.7024835852896605,0.5,49,503,77,57,synthetic_overlap_test,0.8672413793103448,0.6647527651268705,0.30757451745089587
tfidf_two_step,lecturer_quality,0.7638483965014577,0.3373493975903614,0.5185185185185185,0.4087591240875912,0.7107534800348471,0.5,56,468,110,52,synthetic_overlap_test,0.8096885813148789,0.6641035499166987,0.2791052801907131
tfidf_two_step,materials,0.8206997084548106,0.2989690721649484,0.3452380952380952,0.3204419889502762,0.5232864844387976,0.550000011920929,29,534,68,55,synthetic_overlap_test,0.8870431893687708,0.616140642303433,0.21852875591858617
tfidf_two_step,organization,0.6938775510204082,0.2651162790697674,0.5229357798165137,0.3518518518518518,0.5620076586850413,0.449999988079071,57,419,158,52,synthetic_overlap_test,0.7261698440207972,0.6245528119186554,0.1963156870878693
tfidf_two_step,overall_experience,0.3965014577259475,0.1526548672566371,0.69,0.25,0.6352764262489696,0.3499999940395355,69,203,383,31,synthetic_overlap_test,0.3464163822525597,0.5182081911262798,0.027106188926022196
tfidf_two_step,workload,0.858600583090379,0.5172413793103449,0.45,0.481283422459893,0.6423559165005119,0.550000011920929,45,544,42,55,synthetic_overlap_test,0.9283276450511946,0.6891638225255973,0.40118422486020916
tfidf_two_step,accessibility,0.5238600212089077,0.006766917293233,0.2571428571428571,0.0131868131868131,0.5392147819252892,0.449999988079071,9,1473,1321,26,real_herath_mapped,0.5272011453113815,0.3921720012271193,-0.04776195849135684
tfidf_two_step,assessment_design,0.8589607635206787,0.0816326530612244,0.0680851063829787,0.074245939675174,0.6643152778095782,0.6000000238418579,16,2414,180,219,real_herath_mapped,0.930609097918273,0.49934710215062583,-0.001419190467804418
tfidf_two_step,exam_fairness,0.9158713326263698,0.3246753246753247,0.2717391304347826,0.2958579881656805,0.3277678359727724,0.6000000238418579,50,2541,104,134,real_herath_mapped,0.9606805293005671,0.6162098298676748,0.2526226910536918
tfidf_two_step,grading_transparency,0.8455284552845529,0.0523076923076923,0.1164383561643835,0.0721868365180467,0.5901813570552108,0.5,17,2375,308,129,real_herath_mapped,0.8852031308237048,0.5008207434940442,0.0011388469576279893
tfidf_two_step,lecturer_quality,0.6002120890774125,0.8634179821551132,0.5744292237442923,0.689882094872498,0.6675485454644422,0.5,1258,440,199,932,real_herath_mapped,0.6885758998435054,0.6315025617938989,0.22005430232913625
tfidf_two_step,materials,0.8381053375751149,0.3365384615384615,0.1794871794871795,0.2341137123745819,0.5720387878533155,0.550000011920929,70,2301,138,320,real_herath_mapped,0.9434194341943419,0.5614533068407607,0.1623484994467933
tfidf_two_step,organization,0.673029338989042,0.2281553398058252,0.3941299790356394,0.2890084550345888,0.6809370529971738,0.449999988079071,188,1716,636,289,real_herath_mapped,0.7295918367346939,0.5618609078851666,0.10195378162671141
tfidf_two_step,overall_experience,0.5326970661010958,0.2226250906453952,0.5511669658886894,0.3171487603305785,0.9580357937588108,0.3499999940395355,307,1200,1072,250,real_herath_mapped,0.528169014084507,0.5396679899865982,0.06311546954761653
tfidf_two_step,workload,0.975609756097561,0.75,0.12,0.2068965517241379,0.7432971687780486,0.550000011920929,9,2751,3,66,real_herath_mapped,0.9989106753812637,0.5594553376906318,0.2939337117804816
