approach,aspect,accuracy,precision,recall,f1,specificity,balanced_accuracy,mcc,mse,threshold,tp,tn,fp,fn
tfidf_two_step,assessment_design,0.7702380952380953,0.32926829268292684,0.07541899441340782,0.12272727272727273,0.9583963691376702,0.516907681775539,0.06426521844968712,1.2543473917025108,0.6,27,1267,55,331
tfidf_two_step,clarity,0.4654761904761905,0.3125,0.7725321888412017,0.44499381953028433,0.34761120263591433,0.560071695738558,0.11586679343262916,0.995102146522024,0.25,360,422,792,106
tfidf_two_step,difficulty,0.48214285714285715,0.17951541850220265,0.5659722222222222,0.2725752508361204,0.46479885057471265,0.5153855363984674,0.023270564831254236,0.8902988362488868,0.4,163,647,745,125
tfidf_two_step,grading_transparency,0.9458333333333333,0.1206896551724138,0.14893617021276595,0.13333333333333333,0.9687691365584813,0.5588526533856236,0.10631600359567805,0.9141435708318438,0.5,7,1582,51,40
tfidf_two_step,lecturer_quality,0.6,0.6132075471698113,0.41035353535353536,0.491679273827534,0.7691441441441441,0.5897488397488397,0.19281510676686547,0.7017807060052068,0.55,325,683,205,467
tfidf_two_step,materials,0.7779761904761905,0.47191011235955055,0.23140495867768596,0.31053604436229204,0.9286256643887624,0.5800153115332242,0.21399534614118756,0.9648385384408313,0.55,84,1223,94,279
tfidf_two_step,organization,0.9422619047619047,0.0,0.0,0.0,0.9530403371462974,0.4765201685731487,-0.023599784090671472,,0.55,0,1583,78,19
tfidf_two_step,overall_experience,0.4357142857142857,0.9006024096385542,0.40405405405405403,0.5578358208955224,0.67,0.537027027027027,0.049052799783868874,1.1014802516632818,0.35,598,134,66,882
tfidf_two_step,relevance,0.580952380952381,0.12130177514792899,0.4270833333333333,0.1889400921658986,0.6008064516129032,0.5139448924731183,0.018094935570571617,0.9635536986965368,0.45,82,894,594,110
tfidf_two_step,support,0.11071428571428571,0.05941845764854614,0.94,0.1117717003567182,0.05822784810126582,0.4991139240506329,-0.0017890118219678283,0.964832659580036,0.25,94,92,1488,6
tfidf_two_step,workload,0.9178571428571428,1.0,0.014285714285714285,0.028169014084507043,1.0,0.5071428571428571,0.11450260366266958,0.5385627821087837,0.55,2,1540,0,138
