approach,aspect,accuracy,precision,recall,f1,mse,threshold,tp,tn,fp,fn,specificity,balanced_accuracy,mcc
tfidf_two_step,accessibility,0.5238600212089077,0.006766917293233,0.2571428571428571,0.0131868131868131,0.5392147819252892,0.449999988079071,9,1473,1321,26,0.5272011453113815,0.3921720012271193,-0.04776195849135684
tfidf_two_step,assessment_design,0.8589607635206787,0.0816326530612244,0.0680851063829787,0.074245939675174,0.6643152778095782,0.6000000238418579,16,2414,180,219,0.930609097918273,0.49934710215062583,-0.001419190467804418
tfidf_two_step,exam_fairness,0.9158713326263698,0.3246753246753247,0.2717391304347826,0.2958579881656805,0.3277678359727724,0.6000000238418579,50,2541,104,134,0.9606805293005671,0.6162098298676748,0.2526226910536918
tfidf_two_step,grading_transparency,0.8455284552845529,0.0523076923076923,0.1164383561643835,0.0721868365180467,0.5901813570552108,0.5,17,2375,308,129,0.8852031308237048,0.5008207434940442,0.0011388469576279893
tfidf_two_step,lecturer_quality,0.6002120890774125,0.8634179821551132,0.5744292237442923,0.689882094872498,0.6675485454644422,0.5,1258,440,199,932,0.6885758998435054,0.6315025617938989,0.22005430232913625
tfidf_two_step,materials,0.8381053375751149,0.3365384615384615,0.1794871794871795,0.2341137123745819,0.5720387878533155,0.550000011920929,70,2301,138,320,0.9434194341943419,0.5614533068407607,0.1623484994467933
tfidf_two_step,organization,0.673029338989042,0.2281553398058252,0.3941299790356394,0.2890084550345888,0.6809370529971738,0.449999988079071,188,1716,636,289,0.7295918367346939,0.5618609078851666,0.10195378162671141
tfidf_two_step,overall_experience,0.5326970661010958,0.2226250906453952,0.5511669658886894,0.3171487603305785,0.9580357937588108,0.3499999940395355,307,1200,1072,250,0.528169014084507,0.5396679899865982,0.06311546954761653
tfidf_two_step,workload,0.975609756097561,0.75,0.12,0.2068965517241379,0.7432971687780486,0.550000011920929,9,2751,3,66,0.9989106753812637,0.5594553376906318,0.2939337117804816
distilbert-base-uncased,accessibility,0.2824319547543301,0.0127015144113336,0.7428571428571429,0.0249759846301633,0.6103633043821901,0.4999999999999999,26,773,2021,9,0.27666428060128845,0.5097607117292157,0.0048249898875848875
distilbert-base-uncased,assessment_design,0.9056203605514316,0.2837837837837837,0.0893617021276595,0.1359223300970873,0.441848994033145,0.75,21,2541,53,214,0.979568234387047,0.5344649682573532,0.11919283073724932
distilbert-base-uncased,exam_fairness,0.951926475786497,0.6237113402061856,0.657608695652174,0.6402116402116402,0.6901847880995955,0.65,121,2572,73,63,0.9724007561436673,0.8150047258979206,0.6147204201457012
distilbert-base-uncased,grading_transparency,0.951219512195122,0.6428571428571429,0.1232876712328767,0.2068965517241379,0.4401527621472875,0.6,18,2673,10,128,0.9962728289228475,0.5597802500778621,0.2672015156687685
distilbert-base-uncased,lecturer_quality,0.4697773064687168,0.896551724137931,0.3561643835616438,0.5098039215686274,0.2798881168185173,0.7,780,549,90,1410,0.8591549295774648,0.6076596565695542,0.1951095952348396
distilbert-base-uncased,materials,0.865323435843054,0.68,0.0435897435897435,0.0819277108433735,0.5459947060136234,0.7999999999999999,17,2431,8,373,0.996719967199672,0.5201548553947078,0.14848715179501665
distilbert-base-uncased,organization,0.8275008837044893,0.456,0.1194968553459119,0.1893687707641196,0.1281160599033332,0.7,57,2284,68,420,0.9710884353741497,0.5452926453600309,0.1650354267625037
distilbert-base-uncased,overall_experience,0.2799575821845175,0.2023330651649235,0.9030520646319568,0.3305948077555044,0.4883828347516267,0.3999999999999999,503,289,1983,54,0.12720070422535212,0.5151263844286544,0.03685524207864808
distilbert-base-uncased,workload,0.9780841286673736,0.9333333333333332,0.1866666666666666,0.3111111111111111,0.5878027891740203,0.75,14,2753,1,61,0.9996368917937546,0.5931517792302107,0.4121222609264016
bert-base-uncased,accessibility,0.927536231884058,0.005813953488372,0.0285714285714285,0.0096618357487922,0.0002373149764025,0.6,1,2623,171,34,0.9387974230493915,0.48368442581041005,-0.015094529498624904
bert-base-uncased,assessment_design,0.8918345705196182,0.2795031055900621,0.1914893617021276,0.2272727272727272,0.3934682335121275,0.7,45,2478,116,190,0.9552814186584425,0.5733853901802851,0.17484477949303487
bert-base-uncased,exam_fairness,0.7553905973842348,0.1894865525672371,0.842391304347826,0.3093812375249501,0.3997124205901327,0.4499999999999999,155,1982,663,29,0.7493383742911153,0.7958648393194707,0.32185659668692695
bert-base-uncased,grading_transparency,0.8752209261223047,0.1290322580645161,0.2465753424657534,0.1694117647058823,0.281617985061732,0.6,36,2440,243,110,0.9094297428251957,0.5780025426454746,0.1157586165019295
bert-base-uncased,lecturer_quality,0.7246376811594203,0.9118505545826036,0.7132420091324201,0.8004099410709711,0.3370264063453705,0.6,1562,488,151,628,0.7636932707355243,0.7384676399339722,0.40805730502149257
bert-base-uncased,materials,0.8624955814775539,0.52,0.0333333333333333,0.0626506024096385,0.3401269250764296,0.75,13,2427,12,377,0.995079950799508,0.5142066420664206,0.10466479544020851
bert-base-uncased,organization,0.8271474019088016,0.4347826086956521,0.0838574423480083,0.140597539543058,0.1749268736435624,0.7,40,2300,52,437,0.9778911564625851,0.5308742994052967,0.13033877740722088
bert-base-uncased,overall_experience,0.3340402969247084,0.2093736311870346,0.8581687612208259,0.3366197183098591,0.6311744322128902,0.3999999999999999,478,467,1805,79,0.2055457746478873,0.5318572679343566,0.06419792747759769
bert-base-uncased,workload,0.9773771650759986,0.8666666666666667,0.1733333333333333,0.2888888888888888,0.4244763339654757,0.85,13,2752,2,62,0.9992737835875091,0.5863035584604213,0.38182435088870015
