row_id,n_aspects,n_supported,n_matched,support_rate,match_rate,row_score
0,2,2,1,1.0,0.5,0.5
1,1,1,1,1.0,1.0,1.0
2,2,2,2,1.0,1.0,1.0
3,3,3,2,1.0,0.6667,0.6667
4,3,3,3,1.0,1.0,1.0
5,3,3,2,1.0,0.6667,0.6667
6,3,3,2,1.0,0.6667,0.6667
7,1,1,1,1.0,1.0,1.0
8,3,2,1,0.6667,0.3333,0.3333
9,2,2,1,1.0,0.5,0.5
10,1,1,1,1.0,1.0,1.0
11,1,1,1,1.0,1.0,1.0
12,3,2,1,0.6667,0.3333,0.3333
13,3,3,3,1.0,1.0,1.0
14,2,2,0,1.0,0.0,0.0
15,1,1,1,1.0,1.0,1.0
16,3,2,2,0.6667,0.6667,0.6667
17,2,2,1,1.0,0.5,0.5
18,3,2,0,0.6667,0.0,0.0
19,3,3,0,1.0,0.0,0.0
20,3,3,2,1.0,0.6667,0.6667
21,1,1,1,1.0,1.0,1.0
22,2,2,1,1.0,0.5,0.5
23,3,3,3,1.0,1.0,1.0
24,1,1,1,1.0,1.0,1.0
25,1,1,0,1.0,0.0,0.0
26,2,1,1,0.5,0.5,0.5
27,2,2,1,1.0,0.5,0.5
28,2,0,0,0.0,0.0,0.0
29,3,3,3,1.0,1.0,1.0
30,3,3,2,1.0,0.6667,0.6667
31,3,3,2,1.0,0.6667,0.6667
32,1,1,1,1.0,1.0,1.0
33,1,1,0,1.0,0.0,0.0
34,1,1,1,1.0,1.0,1.0
35,2,2,0,1.0,0.0,0.0
36,2,1,1,0.5,0.5,0.5
37,3,3,2,1.0,0.6667,0.6667
38,2,2,0,1.0,0.0,0.0
39,2,1,0,0.5,0.0,0.0
40,2,2,2,1.0,1.0,1.0
41,3,2,1,0.6667,0.3333,0.3333
42,2,1,1,0.5,0.5,0.5
43,2,2,2,1.0,1.0,1.0
44,2,2,1,1.0,0.5,0.5
45,1,1,0,1.0,0.0,0.0
46,3,3,3,1.0,1.0,1.0
47,3,2,1,0.6667,0.3333,0.3333
48,1,1,1,1.0,1.0,1.0
49,3,3,1,1.0,0.3333,0.3333
50,3,3,3,1.0,1.0,1.0
51,1,1,1,1.0,1.0,1.0
52,2,1,0,0.5,0.0,0.0
53,3,3,2,1.0,0.6667,0.6667
54,1,1,1,1.0,1.0,1.0
55,2,2,2,1.0,1.0,1.0
56,3,3,3,1.0,1.0,1.0
57,2,2,1,1.0,0.5,0.5
58,1,0,0,0.0,0.0,0.0
59,3,3,3,1.0,1.0,1.0
60,1,1,1,1.0,1.0,1.0
61,2,2,2,1.0,1.0,1.0
62,2,1,0,0.5,0.0,0.0
63,2,2,2,1.0,1.0,1.0
64,2,2,2,1.0,1.0,1.0
65,3,3,0,1.0,0.0,0.0
66,3,3,2,1.0,0.6667,0.6667
67,3,1,1,0.3333,0.3333,0.3333
68,1,1,1,1.0,1.0,1.0
69,3,1,1,0.3333,0.3333,0.3333
70,3,3,3,1.0,1.0,1.0
71,3,3,1,1.0,0.3333,0.3333
72,1,1,1,1.0,1.0,1.0
73,2,2,0,1.0,0.0,0.0
74,3,3,1,1.0,0.3333,0.3333
75,1,1,1,1.0,1.0,1.0
76,3,2,2,0.6667,0.6667,0.6667
77,1,1,1,1.0,1.0,1.0
78,3,2,1,0.6667,0.3333,0.3333
79,1,1,1,1.0,1.0,1.0
80,1,1,1,1.0,1.0,1.0
81,2,2,2,1.0,1.0,1.0
82,2,2,2,1.0,1.0,1.0
83,2,2,2,1.0,1.0,1.0
84,3,3,2,1.0,0.6667,0.6667
85,2,2,2,1.0,1.0,1.0
86,1,1,0,1.0,0.0,0.0
87,2,2,1,1.0,0.5,0.5
88,1,1,1,1.0,1.0,1.0
89,3,2,1,0.6667,0.3333,0.3333
90,1,1,1,1.0,1.0,1.0
91,3,3,1,1.0,0.3333,0.3333
92,2,1,0,0.5,0.0,0.0
93,1,0,0,0.0,0.0,0.0
94,3,2,1,0.6667,0.3333,0.3333
95,2,1,0,0.5,0.0,0.0
96,2,2,1,1.0,0.5,0.5
97,1,0,0,0.0,0.0,0.0
98,1,0,0,0.0,0.0,0.0
99,1,1,1,1.0,1.0,1.0
100,2,1,1,0.5,0.5,0.5
101,1,1,1,1.0,1.0,1.0
102,3,3,3,1.0,1.0,1.0
103,1,0,0,0.0,0.0,0.0
104,2,2,1,1.0,0.5,0.5
105,1,1,0,1.0,0.0,0.0
106,2,2,0,1.0,0.0,0.0
107,1,0,0,0.0,0.0,0.0
108,1,1,1,1.0,1.0,1.0
109,3,2,2,0.6667,0.6667,0.6667
110,1,1,1,1.0,1.0,1.0
111,1,0,0,0.0,0.0,0.0
112,3,2,2,0.6667,0.6667,0.6667
113,2,1,1,0.5,0.5,0.5
114,3,3,2,1.0,0.6667,0.6667
115,2,2,1,1.0,0.5,0.5
116,1,1,1,1.0,1.0,1.0
117,3,3,1,1.0,0.3333,0.3333
118,3,3,1,1.0,0.3333,0.3333
119,1,1,0,1.0,0.0,0.0
120,2,1,1,0.5,0.5,0.5
121,2,2,2,1.0,1.0,1.0
122,3,3,1,1.0,0.3333,0.3333
123,2,2,1,1.0,0.5,0.5
124,3,3,2,1.0,0.6667,0.6667
125,2,1,0,0.5,0.0,0.0
126,3,3,2,1.0,0.6667,0.6667
127,3,3,2,1.0,0.6667,0.6667
128,3,3,2,1.0,0.6667,0.6667
129,3,3,2,1.0,0.6667,0.6667
130,3,3,1,1.0,0.3333,0.3333
131,2,2,1,1.0,0.5,0.5
132,2,1,0,0.5,0.0,0.0
133,1,1,1,1.0,1.0,1.0
134,2,2,1,1.0,0.5,0.5
135,1,1,1,1.0,1.0,1.0
136,2,2,2,1.0,1.0,1.0
137,3,3,1,1.0,0.3333,0.3333
138,2,1,0,0.5,0.0,0.0
139,1,1,0,1.0,0.0,0.0
140,1,1,1,1.0,1.0,1.0
141,1,1,1,1.0,1.0,1.0
142,3,3,3,1.0,1.0,1.0
143,1,1,0,1.0,0.0,0.0
144,2,2,1,1.0,0.5,0.5
145,3,3,2,1.0,0.6667,0.6667
146,2,2,1,1.0,0.5,0.5
147,2,1,1,0.5,0.5,0.5
148,2,0,0,0.0,0.0,0.0
149,2,2,2,1.0,1.0,1.0
150,1,1,0,1.0,0.0,0.0
151,3,2,2,0.6667,0.6667,0.6667
152,3,2,1,0.6667,0.3333,0.3333
153,1,1,1,1.0,1.0,1.0
154,2,1,0,0.5,0.0,0.0
155,3,3,2,1.0,0.6667,0.6667
156,1,1,1,1.0,1.0,1.0
157,3,2,1,0.6667,0.3333,0.3333
158,3,3,1,1.0,0.3333,0.3333
159,1,0,0,0.0,0.0,0.0
160,2,1,1,0.5,0.5,0.5
161,3,1,1,0.3333,0.3333,0.3333
162,1,1,1,1.0,1.0,1.0
163,2,2,1,1.0,0.5,0.5
164,1,1,1,1.0,1.0,1.0
165,2,2,1,1.0,0.5,0.5
166,2,1,1,0.5,0.5,0.5
167,2,2,1,1.0,0.5,0.5
168,3,3,1,1.0,0.3333,0.3333
169,2,1,0,0.5,0.0,0.0
170,2,2,0,1.0,0.0,0.0
171,3,2,2,0.6667,0.6667,0.6667
172,2,2,2,1.0,1.0,1.0
173,2,2,1,1.0,0.5,0.5
174,1,1,1,1.0,1.0,1.0
175,3,2,2,0.6667,0.6667,0.6667
176,1,1,1,1.0,1.0,1.0
177,2,2,1,1.0,0.5,0.5
178,2,1,0,0.5,0.0,0.0
179,2,1,1,0.5,0.5,0.5
180,1,1,1,1.0,1.0,1.0
181,3,3,1,1.0,0.3333,0.3333
182,3,3,3,1.0,1.0,1.0
183,3,3,1,1.0,0.3333,0.3333
184,2,2,1,1.0,0.5,0.5
185,1,0,0,0.0,0.0,0.0
186,1,1,1,1.0,1.0,1.0
187,2,2,2,1.0,1.0,1.0
188,3,2,2,0.6667,0.6667,0.6667
189,2,2,2,1.0,1.0,1.0
190,1,0,0,0.0,0.0,0.0
191,2,2,2,1.0,1.0,1.0
192,1,1,1,1.0,1.0,1.0
193,3,1,1,0.3333,0.3333,0.3333
194,3,2,1,0.6667,0.3333,0.3333
195,2,1,1,0.5,0.5,0.5
196,1,1,0,1.0,0.0,0.0
197,3,3,3,1.0,1.0,1.0
198,1,1,1,1.0,1.0,1.0
199,2,2,1,1.0,0.5,0.5
200,1,1,1,1.0,1.0,1.0
201,2,2,2,1.0,1.0,1.0
202,3,3,1,1.0,0.3333,0.3333
203,2,0,0,0.0,0.0,0.0
204,1,1,1,1.0,1.0,1.0
205,2,1,0,0.5,0.0,0.0
206,1,1,1,1.0,1.0,1.0
207,1,1,1,1.0,1.0,1.0
208,1,1,1,1.0,1.0,1.0
209,2,2,0,1.0,0.0,0.0
210,2,2,2,1.0,1.0,1.0
