item_id,sample_id,aspect,declared_sentiment,audit_row_score
r1747_lecturer_quality,1747,lecturer quality,neutral,0.333
r1747_tooling_usability,1747,tooling usability,neutral,0.333
r1747_interest,1747,interest,positive,0.333
r6111_relevance,6111,relevance,neutral,0.0
r2502_exam_fairness,2502,exam fairness,positive,0.333
r2502_feedback_quality,2502,feedback quality,negative,0.333
r2502_accessibility,2502,accessibility,neutral,0.333
r5220_peer_interaction,5220,peer interaction,negative,0.0
r5220_prerequisite_fit,5220,prerequisite fit,neutral,0.0
r3294_materials,3294,materials,neutral,0.0
r5845_exam_fairness,5845,exam fairness,neutral,0.0
r5845_grading_transparency,5845,grading transparency,neutral,0.0
r8198_grading_transparency,8198,grading transparency,neutral,0.0
r1514_difficulty,1514,difficulty,positive,0.0
r4394_overall_experience,4394,overall experience,positive,0.0
r2210_prerequisite_fit,2210,prerequisite fit,negative,0.0
r3297_tooling_usability,3297,tooling usability,positive,0.0
r9977_materials,9977,materials,neutral,0.0
r7460_peer_interaction,7460,peer interaction,neutral,0.0
r7460_support,7460,support,positive,0.0
r7460_overall_experience,7460,overall experience,positive,0.0
r3165_peer_interaction,3165,peer interaction,neutral,0.0
r3606_assessment_design,3606,assessment design,neutral,0.0
r3606_peer_interaction,3606,peer interaction,positive,0.0
r1781_exam_fairness,1781,exam fairness,neutral,0.0
r9792_difficulty,9792,difficulty,neutral,0.0
r9792_practical_application,9792,practical application,neutral,0.0
r9792_exam_fairness,9792,exam fairness,neutral,0.0
r242_lecturer_quality,242,lecturer quality,negative,0.0
r242_pacing,242,pacing,neutral,0.0
r5823_workload,5823,workload,neutral,0.0
r5823_support,5823,support,negative,0.0
r3374_clarity,3374,clarity,positive,0.0
r3374_grading_transparency,3374,grading transparency,neutral,0.0
r169_feedback_quality,169,feedback quality,neutral,0.0
r169_grading_transparency,169,grading transparency,positive,0.0
r6944_difficulty,6944,difficulty,neutral,0.0
r7368_clarity,7368,clarity,positive,0.0
r842_organization,842,organization,negative,0.333
r842_grading_transparency,842,grading transparency,neutral,0.333
r842_workload,842,workload,neutral,0.333
r2159_accessibility,2159,accessibility,neutral,0.0
r2159_difficulty,2159,difficulty,neutral,0.0
r7924_relevance,7924,relevance,negative,0.0
r6288_grading_transparency,6288,grading transparency,neutral,0.0
r6288_materials,6288,materials,negative,0.0
r6288_support,6288,support,positive,0.0
r1424_grading_transparency,1424,grading transparency,neutral,0.0
r1974_tooling_usability,1974,tooling usability,positive,0.0
r6966_clarity,6966,clarity,negative,0.0
r2507_tooling_usability,2507,tooling usability,positive,0.333
r2507_feedback_quality,2507,feedback quality,negative,0.333
r2507_accessibility,2507,accessibility,neutral,0.333
r8129_feedback_quality,8129,feedback quality,neutral,0.0
r8129_clarity,8129,clarity,neutral,0.0
r9423_peer_interaction,9423,peer interaction,neutral,0.0
r9423_overall_experience,9423,overall experience,neutral,0.0
r5820_feedback_quality,5820,feedback quality,negative,0.0
r5820_accessibility,5820,accessibility,positive,0.0
r4661_prerequisite_fit,4661,prerequisite fit,negative,0.0
r4661_accessibility,4661,accessibility,positive,0.0
r886_materials,886,materials,positive,0.0
r8615_tooling_usability,8615,tooling usability,neutral,0.0
r8965_assessment_design,8965,assessment design,positive,0.0
r9335_accessibility,9335,accessibility,positive,0.0
r7035_overall_experience,7035,overall experience,neutral,0.0
r143_clarity,143,clarity,positive,0.0
r9718_tooling_usability,9718,tooling usability,neutral,0.0
r2429_tooling_usability,2429,tooling usability,neutral,0.333
r2429_lecturer_quality,2429,lecturer quality,neutral,0.333
r2429_assessment_design,2429,assessment design,neutral,0.333
r2388_prerequisite_fit,2388,prerequisite fit,neutral,0.0
r2388_tooling_usability,2388,tooling usability,positive,0.0
r2388_organization,2388,organization,neutral,0.0
r2397_practical_application,2397,practical application,positive,0.0
r2397_lecturer_quality,2397,lecturer quality,negative,0.0
r5614_support,5614,support,positive,0.0
r426_clarity,426,clarity,negative,0.0
r426_accessibility,426,accessibility,neutral,0.0
r1012_workload,1012,workload,negative,0.333
r1012_organization,1012,organization,neutral,0.333
r1012_relevance,1012,relevance,neutral,0.333
r4348_exam_fairness,4348,exam fairness,positive,0.0
r4348_prerequisite_fit,4348,prerequisite fit,positive,0.0
r5766_feedback_quality,5766,feedback quality,positive,0.0
r3558_prerequisite_fit,3558,prerequisite fit,neutral,0.0
r4246_lecturer_quality,4246,lecturer quality,neutral,0.0
r4246_feedback_quality,4246,feedback quality,positive,0.0
r3795_accessibility,3795,accessibility,positive,0.0
r3795_peer_interaction,3795,peer interaction,negative,0.0
r1345_difficulty,1345,difficulty,positive,0.0
r1345_organization,1345,organization,positive,0.0
r1532_materials,1532,materials,positive,0.0
r223_grading_transparency,223,grading transparency,positive,0.0
r223_difficulty,223,difficulty,neutral,0.0
r223_lecturer_quality,223,lecturer quality,neutral,0.0
r6737_difficulty,6737,difficulty,neutral,0.0
r6431_prerequisite_fit,6431,prerequisite fit,neutral,0.0
r4358_accessibility,4358,accessibility,positive,0.0
r440_tooling_usability,440,tooling usability,positive,0.333
r440_support,440,support,neutral,0.333
r440_prerequisite_fit,440,prerequisite fit,negative,0.333
r9119_organization,9119,organization,positive,0.0
r9119_exam_fairness,9119,exam fairness,positive,0.0
r6539_clarity,6539,clarity,negative,0.0
r4965_clarity,4965,clarity,positive,0.0
r4965_grading_transparency,4965,grading transparency,positive,0.0
r4965_difficulty,4965,difficulty,positive,0.0
r8462_feedback_quality,8462,feedback quality,positive,0.0
r2248_support,2248,support,negative,0.0
r2248_peer_interaction,2248,peer interaction,negative,0.0
r2248_materials,2248,materials,neutral,0.0
r8433_grading_transparency,8433,grading transparency,negative,0.0
r1732_assessment_design,1732,assessment design,positive,0.0
r6545_tooling_usability,6545,tooling usability,neutral,0.0
r6545_overall_experience,6545,overall experience,neutral,0.0
r6545_lecturer_quality,6545,lecturer quality,neutral,0.0
r2943_materials,2943,materials,neutral,0.0
r2943_relevance,2943,relevance,negative,0.0
r2943_practical_application,2943,practical application,positive,0.0
r3571_feedback_quality,3571,feedback quality,positive,0.0
r5439_peer_interaction,5439,peer interaction,negative,0.0
r2749_peer_interaction,2749,peer interaction,neutral,0.0
r630_feedback_quality,630,feedback quality,neutral,0.0
r630_support,630,support,neutral,0.0
r630_tooling_usability,630,tooling usability,neutral,0.0
r6468_interest,6468,interest,positive,0.0
r6208_relevance,6208,relevance,negative,0.0
r4369_lecturer_quality,4369,lecturer quality,neutral,0.5
r4369_pacing,4369,pacing,negative,0.5
r3513_interest,3513,interest,neutral,0.333
r3513_prerequisite_fit,3513,prerequisite fit,negative,0.333
r3513_relevance,3513,relevance,neutral,0.333
r4270_lecturer_quality,4270,lecturer quality,negative,0.333
r4270_interest,4270,interest,neutral,0.333
r4270_relevance,4270,relevance,neutral,0.333
r640_support,640,support,positive,0.5
r640_practical_application,640,practical application,positive,0.5
r5821_support,5821,support,positive,0.333
r5821_pacing,5821,pacing,neutral,0.333
r5821_interest,5821,interest,negative,0.333
r3595_lecturer_quality,3595,lecturer quality,positive,0.5
r3595_materials,3595,materials,positive,0.5
r5204_materials,5204,materials,negative,0.333
r5204_interest,5204,interest,neutral,0.333
r5204_exam_fairness,5204,exam fairness,neutral,0.333
r2087_accessibility,2087,accessibility,negative,0.5
r2087_pacing,2087,pacing,negative,0.5
r2826_exam_fairness,2826,exam fairness,neutral,0.333
r2826_pacing,2826,pacing,neutral,0.333
r2826_difficulty,2826,difficulty,positive,0.333
r9433_organization,9433,organization,negative,0.333
r9433_accessibility,9433,accessibility,neutral,0.333
r9433_interest,9433,interest,neutral,0.333
r4053_difficulty,4053,difficulty,negative,0.5
r4053_overall_experience,4053,overall experience,positive,0.5
r8451_materials,8451,materials,positive,0.333
r8451_prerequisite_fit,8451,prerequisite fit,positive,0.333
r8451_lecturer_quality,8451,lecturer quality,neutral,0.333
r5643_support,5643,support,positive,0.5
r5643_accessibility,5643,accessibility,neutral,0.5
r9942_assessment_design,9942,assessment design,negative,0.333
r9942_organization,9942,organization,positive,0.333
r9942_clarity,9942,clarity,neutral,0.333
r36_exam_fairness,36,exam fairness,neutral,0.5
r36_organization,36,organization,positive,0.5
r6074_overall_experience,6074,overall experience,neutral,0.5
r6074_pacing,6074,pacing,neutral,0.5
r7449_workload,7449,workload,negative,0.333
r7449_peer_interaction,7449,peer interaction,neutral,0.333
r7449_support,7449,support,neutral,0.333
r2625_grading_transparency,2625,grading transparency,positive,0.5
r2625_prerequisite_fit,2625,prerequisite fit,neutral,0.5
r5577_clarity,5577,clarity,positive,0.5
r5577_tooling_usability,5577,tooling usability,neutral,0.5
r8693_accessibility,8693,accessibility,positive,0.333
r8693_support,8693,support,neutral,0.333
r8693_assessment_design,8693,assessment design,negative,0.333
r4909_difficulty,4909,difficulty,neutral,0.333
r4909_grading_transparency,4909,grading transparency,neutral,0.333
r4909_organization,4909,organization,positive,0.333
r3198_lecturer_quality,3198,lecturer quality,positive,0.333
r3198_interest,3198,interest,neutral,0.333
r3198_tooling_usability,3198,tooling usability,neutral,0.333
r8149_lecturer_quality,8149,lecturer quality,neutral,0.5
r8149_feedback_quality,8149,feedback quality,neutral,0.5
r6994_feedback_quality,6994,feedback quality,negative,0.5
r6994_difficulty,6994,difficulty,positive,0.5
r6199_interest,6199,interest,positive,0.5
r6199_tooling_usability,6199,tooling usability,positive,0.5
r5669_practical_application,5669,practical application,negative,0.333
r5669_lecturer_quality,5669,lecturer quality,negative,0.333
r5669_prerequisite_fit,5669,prerequisite fit,positive,0.333
r5270_grading_transparency,5270,grading transparency,neutral,0.5
r5270_lecturer_quality,5270,lecturer quality,positive,0.5
r7363_clarity,7363,clarity,negative,0.333
r7363_grading_transparency,7363,grading transparency,negative,0.333
r7363_prerequisite_fit,7363,prerequisite fit,neutral,0.333
r8659_prerequisite_fit,8659,prerequisite fit,neutral,0.5
r8659_practical_application,8659,practical application,positive,0.5
r9612_accessibility,9612,accessibility,positive,0.333
r9612_workload,9612,workload,neutral,0.333
r9612_overall_experience,9612,overall experience,positive,0.333
r4281_practical_application,4281,practical application,neutral,0.5
r4281_lecturer_quality,4281,lecturer quality,negative,0.5
r7290_grading_transparency,7290,grading transparency,neutral,0.333
r7290_support,7290,support,neutral,0.333
r7290_feedback_quality,7290,feedback quality,neutral,0.333
r802_accessibility,802,accessibility,negative,0.5
r802_workload,802,workload,neutral,0.5
r8482_materials,8482,materials,negative,0.333
r8482_lecturer_quality,8482,lecturer quality,neutral,0.333
r8482_interest,8482,interest,neutral,0.333
